	고객질문(요청)
2108	휴대폰으로 계좌 이체 어떻게 해요?
2110	그냥 앱만 깔면 바로 사용할수 있어요?
2112	공인인증서 그런거  없는데요?
2116	지금 돈 뽑아야 하는데 은행이 근처에는 찾아도 없어요. 어떡하죠?
2119	근데 편의점은 갑자기 왜 물어보시는 거예요?
2122	죄송한데 주변에편의점 있는지 찾아줄수 있어요?
2124	지금 통장 없어요 근데 현금인출이 필요해요. 인출할 수 있나요?
2131	인증번호는 받았는데 다음은 어떻게 해요
2136	8천만원짜리 수표도 있나요?
2145	수표 발행할때 수수료도 있다던데 맞나요?
2148	수수료 발생 안할려면요?
2151	다른 은행은 500만원짜리도 있던데요
2156	고액권 수표가 있는데 통장으로 입금 가능한가요?
2162	근데 수표가 제가 거래하는 은행꺼가 아니예요
2165	일부만 빼서 사용할려면요
2171	또 가져가야 되는거는요?
2176	백만원권 6장을 엄마통장에 보내야하는데요 바로 엄마통장으로 이체하면 되나요?
2183	근데 수표 뒷면에 보니까 이름하고 전화번호 적는게 있던데요
2185	배서가 뭐예요?
2190	6장 다 적어야 하나요?
2193	일련번호가 세장은 차례대로 인데…나머지 세장인 제각각이네요
2196	올해 퇴직인데 퇴직연금은 어떻게 해야 받을 수 있나요?
2202	IRP라는 통장을 만들면 그 통장으로 퇴직연금이 들어온단 말인가요?
2204	회사에는 따로 얘기 안해도 되는건가요?
2206	그럼 회사일이 끝날때까지 기다려야 하는거네요
2209	바로 받을 수 있는게 아니네요
2216	이체해야되는데 은행 밖에 있는 기기에서 돼요?
2225	CD기는 또 뭔가요?
2228	그러면 ATM기를 찾아야 하는건가요?
2230	가까운 곳에 있을까요?
2236	보험료 내야하는데.. 깜빡하고 시간을 놓쳤어요
2241	근데 은행창구 아니라도 입금이 되나요?
2248	수표로도 입금되나요?
2256	대출금이 오늘까지인데 잊고있었어요
2259	대출금 오늘까지 입금하는 방법이 궁금해서요
2265	항상 은행창구에서 상환을 했었거든요
2276	티맵에서 CD기 찾으니까 주변에 없다네요
2280	그래요?
2283	그럼 그냥 ATM기로 검색하면 될까요?
2285	대신 찾아주실수 있나요?
2291	어디어디요?
2296	다른 은행 ATM기 사용하면 수수료 없나요?
2302	정말요?
2305	그럼 지점에 전화를 해 봐야 정확한거네요
2308	우선은 급하게 입금할껏만 있어서 입금만 하는거면 수수료가 없다는 말이네요
2310	출금하기 전에는 지점에 물어보고 사용해야 겠네요
2316	OO은행 카드있는데 주변에 OO은행이 없어요
2324	그냥 주위에서 출금할 수 있는 방법이 없나요?
2326	OO은행 부스요?
2329	아파트 바로 앞에 OO은행 부스 있는데, 거기서도 출금된다고요?
2331	그 은행 아니면 출금 안되는거 아니예요?
2336	OO은행 현금인출기에서 OO은행 카드로 출금된다던데 맞나요?
2340	진짜로요?
2342	원래 그 은행 카드로만 출금되는거 아니였어요
2344	그럼 수수료 내야하는 거예요?
2352	혹시 수수료가 나가면 어떻게 해요
2356	자동차 세금이 나왔던데요
2358	근데 이거 어떻게 납부해야 되나요?
2362	요즘에는 은행가는게 쫌 그래서 다른방법이 있나해서요
2365	가상계좌도 은행가야되는거잖아요
2367	핸드폰으로는 가상계좌로 입금 안되요?
2370	그리고 고지서 보니까 일년에 두번씩 나오던데요
2372	다른사람 보니까 한번에 내고 말던데요
2374	연납이요?
2376	저는 자동차세를 일년에 두번 내거든요
2382	한번에 내는건 어떻게 신청해요?
2384	전화번호도 모르는데요?
2387	근데요 한번에 내면 좋아요?
2390	그라면 제가 40만원나오면 36만원만 내면 되는 거였네요
2396	자동차세를 일년에 두번내고 있었는데 한번에 내면 할인된다는게 맞나요?
2404	그거 잘 모르는데요
2411	그라고요
2421	근데 차량도 오래되고 세금도 채 20만원이 안나와서요
2426	어떻게 신청해요
2429	다른 방법은 없어요?
2432	1월에는 못내고 2월부터는 낼 수 있는데요
2436	차를 갑자기 다음달에 팔아야 될 것 같아서요
2444	근데 갑자기 차를 팔아야 하는데 세금 낸건 어떻게 되는거예요?
2448	그럼 한달분은 공제하고 돌려받는 거예요?
2453	언제 환급해줘요
2456	자동차세 고지서가 저한테 왔는데요 저 말고 다른 사람이 납부할 수 없나요?
2470	그럼 그 계좌로 자동차세 만큼 입금하면 되겠네요
2472	위택스에서도 바로 입금안되나요?
2476	자동차세 고지서를 받았어요
2480	요번달까지 납부안하게되면요?
2483	근데 신용카드 납부할려고 보니까 위택스로 해야되던데요?
2485	근데 제가 회원가입이 안되어 있어요
2488	어떻게 해요?
2490	모두 동의하고 카드 번호 입력하면 되나요?
2496	아버지한테 자동차세 납부해달라고 부탁드렸는데 고지서 금액보다 많이 입금했어요
2508	다시 돌려받을 수도 있나요?
2513	제 이름으로 된 통장번호 넣으면 되나요?
2516	자동차세를 잘 못 납부했어요?
2525	쫌 이상해요
2531	세금 미납이요? 제가요?
2534	주민세 납부가 밀렸었나봐요
2536	신용대출 신청할려고 하는데 신용등급은 조회하는 곳이 따로 있나요?
2540	은행에 가야되요?
2542	개인신용정보조회를 다른 방법으로 할 수는 없나요?
2544	신용정보조회서를 가지고 가야하던데 그건요?
2547	수수료 있는거 아니예요?
2550	신용정보조회서는 왜 가지고 가야되요?
2556	쫌 전에 물어봤는데 신용정보조회서요
2558	발급받을려면 직접 가야되요?
2561	좀전에는 00신용정보원이라고 하셨는데요?
2564	거긴 어디있어요?
2567	여기 울산인데요?
2569	다른데는 없어요?
2572	그럼 어떡해요
2576	대출금 저번달에 다 갚았는데 이자가 요번달에 또 나왔어요
2586	그러면 제가 상환일에 이자를 갚아서 그렇다는 건가요?
2591	그럼 어떻게 해요?
2594	언제 입금되요?
2596	대출금 이자 이체해주신다고 했는데, 아직 안들어와서요
2607	어제 계좌번호 불러줬는데요?
2616	현금서비스 한도 금액 올려주세요
2622	네 그거 금액 올릴 수 있어요?
2626	문자 받은시기가 지나면 올릴 수 없나요?
2636	대출금 중도 상환하고 싶어요
2638	상환할려면 날짜를 따로 정해야 되는건가요?
2641	상환이자는 어떻게 알 수 있어요?
2644	그러면 2일 후에 할려구요
2650	그럼 제가 원하는 원금이랑 알려주신 이자랑 20일날 갚으면 되나요?
2656	대출금 이자 좀 알려주세요
2659	뭘 알려주면 될까요?
2671	그러면 원금은 다 못갚는데 어떻게요?
2676	대출 신청할 수 있어요?
2680	전세계약서만 가지고 대출해주는데가 있어요?
2683	근데 0000대출은 뭐예요?
2686	그럼 제가 그걸 받을 자격은 있는건가요?
2689	자격요건 어떤거요?
2692	직업은 어떤게 해당되요?
2696	대출때문에 문의드렸는데요, KCB 등급이 뭐예요?
2706	그 회사는 어떤회사인데요?
2708	회사에서 신용등급을 평가하는 거예요?
2710	그럼 그 회사에서 제 신용을 평가해서 등급을 주면 은행에서 이용하는 거구요?
2716	신용등급을 찾아보니까 NICE신용등급평가하는게 있던데 그건 뭐예요?
2723	회사였어요?
2726	그럼 이 회사에서 제 금융정보에 따라서 신용등급을 측정하는 거예요?
2729	그럼 제 신용등급이 연체로 인해서 낮을 수도 있겠네요
2736	신용정보 알려면 은행가야되는건가요?
2741	신용등급도 자꾸 조회하면 등급이 낮아진다는 게 맞아요?
2744	등급조회 바로 할 수 있는 방법이 있나요?
2746	은행마다 제 신용등급이 다르게 나올 수도 있나요?
2749	제 신용등급은 지금 똑같이 나와야 하는거 아닌가요?
2752	은행가서 말고는 없어요?
2756	신용등급을 높이는 방법이 따로 있나요?
2759	신용등급을 높일 수 있는 방법이 궁금한거거든요
2763	핸드폰 요금도 연체하면 신용등급에 영향이 있는거죠?
2765	근데 연체정보가 있어도 금방 회복되지 않나요?
2768	그럼 신용 회복하는 방법은요?
2770	직장을 다니면 자연적으로 내야 하는 금액이잖아요
2772	또요
2774	현금서비스는요?
2776	엄마가 여행가면서 체크카드를 주고갔는데. 제가 현금출금할 수 있어요
2783	혹시 제 카드가 아니라서 뭐 확인하는 건 없어요?
2785	출금하는데 금액이 정해져 있나요?
2788	제가 가지고 있는 체크카드는 5만원 밖에 출금못하던데요?
2793	그럼 지금 사용할려는 체크카드가 엄마이름으로 되어 있어서 출금하는 금액이 상관 없는 거예요?
2796	간편결제가 뭐예요?
2804	그럼 5천원만 결제하면 5천원 할인되서 0원인거예요?
2807	그럼 편의점에서 1만원 쓰고 카카오페이에 이 카드 사용하면 되는건가요?
2810	언제든 사용하면 되는거예요?
2816	간편결제 어떻게 해야되나요?
2822	앱카드요?
2827	그리구요
2830	그럼 이게 삼성페이 결제하는 거랑 같은건가요?
2836	간편결제로 결제할려고 해보니까 잘안되서요
2840	간편결제에 카드 등록을 한번도 안해봐서 잘 모르겠어요
2852	카카오카드는 없는데요?
2856	제 친구는 간편결재하면 할인되는 문자가 안왔데요
2861	5천원 쿠폰안내문자가 친구는 안왔는데요?
2863	친구한테는 왜 문자 안왔어요
2866	그럼 친구는 그걸 계속 써오고 있기 때문에 할인을 안해주는거예요?
2868	간편결재 등록해서 5천원 할인받는 조건이 따로 있어요?
2871	합산이면 기간이 따로 있겠네요
2876	제가 18살인데요 50만원이 필요하거든요
2884	30만원 밖에 안되요?
2886	엄마는 한번에 70만원 뽑던데요
2893	그럼 다른 통장에 송금할려면요?
2896	저 혼자서는 50만원  뽑을 수 있는 방법이 있나요?
2907	나머지 20만원을 찾을 방법이 없을까요?
2912	토스도 입금해서 출금하는 금액이 따로 정해져 있을까요?
2914	토스로 입금해서 출금하면 비용이 따로 있어요
2916	모바일 상품권 사용기한을 바꿀 수도 있나요?
2920	근데 모바일 상품권도 유효기간이 있잖아요
2922	그 유효기간 마지막날 보다 더 뒤에 사용하고 싶은데요
2929	연장이요 어떻게요?
2931	연장버튼이요?
2936	패밀리 레스토랑 모바일 상품권을 선물 받았어요
2944	선물거절이요? 어떻게요
2952	핸드폰으로 거절 말고 전화로는 안되요?
2956	케잌 쿠폰을 선물 받았는데 어디에 있는지 모르겠어요
2961	톡으로 왔을때는 확인했는데 다시 찾으니까 없어요
2963	카카오톡 안에요?
2968	그리고 고맙다는 인사를 못했는데 이런것도 친구 톡으로 보낼 수 있어요?
2970	그리고 한가저 더요
2972	케잌 쿠폰은 어떻게 써요?
2976	모바일 상품권을 어떻게 사용해요?
2986	근데요 제가 아이스크림 케이크 쿠폰을 받았거든요
2990	진짜요?
2996	제 앱에 더치패이 기능이 있던데 이건 어떻게 사용해요
2998	현금이 없을때요?
3000	그냥 금액 이체서비스네요?
3003	어떻게 사용해요?
3012	그럼 카카오톡방에 있는 모든 사람이 볼 수 있겠네요
3016	ATM기로 얼마까지 출금되요?
3021	출금한도가 천만원 아니었어요?
3030	은행에 가면요?
3032	은행 영업시간이 4시까지 인가요?
3036	친구한테 빵쿠폰을 보내볼려구요
3051	결제는 뭘로 해요?
3056	카카오톡으로 송금할 수 있나요?
3061	어떻게 보내면 되나요?
3067	근데 제가 보낼려고 하는 금액은 2만원인데 페이머니는 6천원 밖에 없으면 어떻게 해요
3074	친구계좌번호를 몰라도 송금하면 친구가 바로 받을 수 있나요?
3076	카카오톡 송금하는거 궁금한 점이 있어요
3078	보내는 금액이 얼마까지 되요?
3081	송금수수료있어요?
3084	제가 연계된 통장을 바꿔야 할 것 같은데요
3088	근데 송금할려고 보니까 페이머니가 0원이면 송금이 더 이상 안되나요?
3091	송금할 친구를 잘 못 선택하면 취소되요?
3093	비밀번호를 잘 못 누르면 어떻게 되요?
3096	이체할려는데 비밀번호가 생각이 안나요
3104	그럼 기존에 비밀번호는 사용 못하는 건가요?
3106	보통 비밀번호가 몇자리 인가요?
3109	재등록 하려면 필요한 서류가 있나요?
3111	재등록은 또 틀리면 또 할 수있는건가요?
3116	주택담보대출 받을 수 있는지 알아보려구요
3120	가능여부도 본인인증이 필요한가요?
3136	관리비를 카드납부 신청할려구요
3149	주민등록번호 불러드리면 안되나요?
3156	아파트 관리비 납부를 카드로 할려구요
3169	카드 신청한 뒤에 관리사무소에도 알려야 하는건가요?
3173	진짜요? 얼마요?
3176	통장에서 도시가스요금이 빠져나가고 있는데요, 카드신청을 바꿀려구요
3180	어떻게 신청해요
3182	카드회사만 되는게 아닌가봐요
3185	가스회사에 전화해서 변경하면 카드사처럼 할인혜택이 있나요?
3187	그럼 카드사에 전화해서 신청하면 오늘부터 출금되나요?
3190	납부 신청되는 카드는 종류 상관없나요?
3192	그리고 한가지더요
3194	도시가스 가입자 명의랑 카드명의자랑 같아야 하는건가요?
3198	그럼 이자율이란 뭔가요? 
3200	이자를 왜 지불해야 하는 건가요?
3202	화폐와 돈은 같은 개념인가요?
3204	이자를 통해서 돈다는 뜻이 뭔가요?
3206	모든 상품의 거래수단인 돈은 이자를 통해서 흘러 들어가고 흘러 나온다라고 정리하면 되나요?
3208	금융시장의 참가자는 누구누구 있나요?
3210	이자율은 월간인가요? 연간인가요?
3212	이자율은 어떻게 책정하나요?
3216	이자율에서 기회비용은 뭔가요?
3218	이자율에서 신용위험비용은 뭔가요?
3220	신용등급은 어찌 책정하나요?
3222	소득이 낮거나 자산이 부족하면 따라서 등급도 낮아진다는 뜻인가요?
3224	얼마나 차이가 나나요?
3226	차이가 많이 나네요?
3232	금융시장에서 신용위험도가 높은 사람은 제약을 많이 받는다는 것을 뜻하지요?
3236	전자금융이 뭐예요?
3238	전자금융의 종류는 무엇이 있나요?
3240	전자금융의 큰 장점은 무엇인가요?
3242	카카오페이도 전자금융인가요?
3244	카카에페이는 카카오톡 친구만 거래 가능한가요?
3246	카카오톡 친구가 아닌 경우에 이용할 수 있는 방법은요?
3248	친구추가를 하기 싫으면요?
3250	숨김,차단 친구에게 송금할 수 있나요?
3252	카카오페이머니 결제는 어떻게 하나요?
3254	카카오페이머니 결제란이 없으면요?
3257	한번에 다계좌로 이체할 수 있나요?
3267	그러면 한번에 처리되나요?
3269	몇건까지 한번에 처리되나요?
3271	수수료는 건당 모두 부과되나요? 아니면 한번만 부과되나요?
3273	수수료 면제 안되나요?
3276	퇴직급여 이체가 뭔가요?
3279	IRP가 무엇인가요?
3281	IRP 가입조건을 알 수 있을까요?
3283	IRP 가입시 혜택은요?
3286	운용 수수료는 없나요?
3288	운용중에 발생하는 이익에 대해서는 과세가있나요?
3290	과세이연이 무엇인가요?
3292	또 다른 혜택이 있나요?
3294	네, 그럼 IRP를 하고 싶으면 제일 먼저 무엇을 해야 하나요?
3296	자동이체 해놓은걸 해지하는 방법 알려주세요.
3299	영업점 방문하지 않고 해지하는 방법이 있을까요?
3309	제가 관리비를 카드사로 납부변경 할 건데 이번달부터 바로 해지되는 건가요?
3316	자동이체 설정을 변경 신청하고 싶은데요.
3320	스마트폰으로 변경도 되나요?
3328	공인인증서는 어떻게 등록하나요?
3333	네, 거기서 날짜를 바꾸면 되나요?
3336	수수료를 적게낼수 있는 방법이 있나요?
3337	어떤 수수료를 말씀하시나요?
3345	어떤 혜택을 받을 수 있나요?
3347	이체수수료 면제는 인터넷, ATM기기 모두 해당되나요?
3351	네. 제 위 등급 혜택은 어떻게 달라지나요?
3353	제가 등급이 올라가면 알 수 있나요?
3356	자주 이체하는 계좌들을 등록해놓을 수 있나요? 찾기 쉽게요
3364	계좌번호를 어떻게 구별하나요?
3366	타행계좌도 등록이 되나요?
3368	제가 제일 많이 쓰는 계좌를 맨 앞에 두고 싶은데 어떻게 하면 되나요?
3370	제가 인터넷뱅킹에 등록하면 스마트폰에도 자동 반영되나요?
3373	등록된 계좌를 변경하거나 삭제할 수도 있나요?
3376	정기적으로 이체하는건에 대해서 편리하게 사용하는 방법이 있을까요?
3379	단축이체 등록? 그게 뭔가요?
3381	그러면 동일한 금액이 결제되는 건에 대해서 하는 건가요?
3383	그러면 매월 결제하는데 금액이 달라지는 건요?
3386	단축이체 등록했다가 금액도 바꿀 수 있는 거지요?
3388	건수나 이체금액 한도에 제한이 있나요?
3391	인터넷뱅킹에 등록해 두면 스마트폰 뱅킹에도 반영되나요?
3394	주의할 점이 있나요?
3397	왜 그런거죠? 이체가 제한되어 있나요?
3399	얼마나 사용하지 않으면 이체제한이 되나요?
3405	그게 무슨 말인가요?
3407	그럼 어떻해야 하나요?
3410	혹시 또 막히면 어떻해요?
3420	이체 한도는 어떻게 확인하나요?
3425	혹시 이체한도가 적으면 어떻게 하나요?
3426	인터넷에서 증액할 수 있나요?
3428	그러면 증액은 어떻게 해야 하나요?
3430	얼마까지 이체한도를 설정할 수 있나요?
3436	공과금 자동이체 등록 가능한가요?
3438	등록가능한 공과금이 무엇인가요?
3443	등록하면 자동으로 빠져나가나요?
3446	혹시 자동으로 빠져나가게 하는 방법은 없나요?
3448	그건 어떻게 하나요?
3450	그러면 언제 돈이 나가나요?
3452	주의할 점은 없나요?
3454	그럼 이중납부되면 어떻게 하나요?
3456	ATM 기기에서 돈을 이체할 수 있나요?
3460	타행이체도 가능한가요?
3462	현금을 송금하고 싶은데 가능한가요?
3464	ATM기기에서는 몇시부터 이체가 가능한가요?
3466	ATM기기에서 타행 이체에 한도가 있나요?
3468	한도를 초과하여 이체하려면 어떻게 해야 하나요?
3470	이체한도를 증액하려면 어떻게 해야 하나요?
3472	제가 사는 곳에서 가장 가까운 영업점은 어디인가요?
3476	스마트폰으로 돈을 이체하고 싶은데요. 가능할까요?
3478	지문인증은 어떻게 하는 건가요?
3482	스마트폰뱅킹은 어떻게 까나요?
3484	지문정보 등록할때 필요한게 있나요?
3486	그럼 휴대폰이 본인 명의가 아니면 안되요?
3488	제 휴대폰은 남편 명의로 되어 있는데, 이런 경우에는 어떻게 해야 하나요?
3490	휴대폰 번호 한개당 생체 인증은 한번만 되나요?
3494	영업점 방문시 필요한 준비물은 무엇인가요?
3496	이체할때 실수를 해서 돈을 더 보냈는데 취소할 수 있나요?
3499	50만원 추가 송금한 부분을 취소할 수 없나요?
3501	 예금주의 동의를 어떻게 받을수 있나요?
3503	만약에 예금주가 동의해 주지 않으면 어떻게 되나요?
3505	정말요? 왜 그렇죠? 
3507	은행에서 별도로 처리해 줄 수 있는 방법은 없나요?
3509	예금주 전화번호를 알 수 있을까요?
3511	자금반환 신청해 주시겠어요?
3513	번호 알려주세요
3516	인터넷뱅킹에서 계좌이체가 진행되지 않아요
3521	그럼 어떻게 해야 다시 할수 있을까요?
3524	다른 방법이 있나요?
3527	그때 필요한 서류가 있어요?
3529	제가 방문할 시간이 없는데, 다른 방법은 없을까요?
3531	방문시 보안카드도 필요하나요? 분실했거든요.
3536	아파트 관리비를 은행에 가지않고 납부하고 싶은데, 어떻게 하면 되나요?
3541	자동이체로 등록해 둘 수 있나요?
3543	생활요금 메뉴가 어디있나요?
3552	이후 자동이체 해지도 인터넷으로 할 수 있나요?
3554	이체계좌변경도 여기서 하나요?
3558	이체수수료가 얼마인가요?
3561	건당 부과되나요?
3563	타행수수료 면제 받는 방법이 있나요?
3565	로얄스타 이상 조건이 어떻게 되나요?
3568	제 고객등급은 어떻게 알 수 있을까요?
3571	등급은 얼마마다 업데이트 되나요?
3573	업데이트 되면 문자로 알려주시나요?
3576	이체확인증을 발급 받을수 있나요?
3578	자동화기기에서도 가능할까요?
3580	이체확인 영수증을 수신인에게 보낼 수 있나요?
3582	스마트뱅킹에서도 이체 문자를 보낼 수 있다구요?
3584	스마트폰으로 하는 방법 좀 알려주세요.
3592	문자로 상대방에게 영수증을 보낼 수 없나요?
3594	영수증을 보낼 수 있는 방법이 있나요?
3596	인터넷뱅킹 1일이체한도를 알 수 있을까요?
3603	1일 이체한도를 변경하고 싶은데요.
3607	1일 이체한도를 줄이는 것이 아니라, 올리고 싶은데 어떻게 해야 하나요?
3611	인터넷으로 가능한가요?
3616	오픈뱅킹으로 이체하려고 하는데 어떻게 하면 될까요?
3622	여러 개 계좌를 동시에 등록할 수 있나요?
3624	계좌를 등록하면 자동으로 오픈뱅킹에 가입되는 건가요?
3626	오픈뱅킹 등록시 어떤 서비스를 이용하실 수 있나요?
3628	오픈뱅킹 이체시 수수료는 어떻게 되나요?
3630	무료 아닌가요?
3632	수수료 면제 받는 방법은 없나요?
3634	멤버쉽은 유료인가요?
3636	건보료 자동이체 신청할게요
3642	카드로도 자동납부가 된다구요?
3644	삼성카드로 납부할 수 있나요?
3646	어떻게 신청하나요?
3648	계좌이체로 자동납부하려면요?
3654	OO은행에 전화해서도 할 수 있어요?
3656	며칠전에 이체를 했는데 받는쪽 계좌번호를 알 수 있을까요?
3660	지금 로그인 가능하신가요?
3664	매번 이렇게 확인해야 하나요?
3670	이체한 계좌번호와 금액을 문자로 전송 받을 수도 있나요?
3673	문자알림 서비스는 어떻게 신청하나요?
3676	휴대전화로 돈을 보내고 싶어요. 처음해보는거라 좀 알려주세요
3680	은행 어플은 어떻게 설치해요?
3684	공인인증서는 어떻게 깔아요?
3687	다른 인증 방법은 없나요?
3689	은행 어플 설치하지 않고 OO은행에서 보낼 수도 있나요?
3692	오픈뱅킹 앱은 어떻게 찾나요?
3696	이체 수수료를 면제받을수 있다고 하는데 저도 가능할까요?
3699	우대고객의 기준이 무엇인가요?
3707	면제등급으로 올리려면 어떻게 하면 될까요? 
3713	그럼 전부 면제 받으려면요?
3716	입출금 내역을 문자로 받고싶습니다. 쉽게 신청이 될까요?
3718	어떻게 신청하는건가요?
3725	영업점에 방문시 가져갈 것이 있나요?
3727	서비스 이용료가 있나요?
3729	어떻게 내나요?
3732	혹시 얼마 이상만 문자 서비스 받아보면 수수료 면제되나요?
3734	건당 얼마인가요?
3736	국민연금을 저의 은행계좌에서 납부가 가능한가요?
3738	어떻게 하면 되나요?
3743	자동이체 등록도 가능한가요?
3745	이건 어디서 하나요?
3748	전화로 할 수 있는 방법은 없나요?
3753	전화번호 알 수 있나요?
3756	OTP가 갑자기 안되요. 지금 해야하는데. 어떤 이유가 있지요?
3760	어떻게 확인하나요?
3766	그럼 어떻게 해야 하나요?
3772	지금 4시가 넘었고 오늘 당장 이체해야 하는데 방법이 없나요?
3774	오픈뱅킹요?
3776	해외에 돈을보낼건데 문의좀 드릴게요.
3777	해외로 송금시 제한시간이 있나요?
3782	주말에도 가능한가요?
3784	그러면 상대방이 바로 받나요?
3786	그러면 영업시간내 안 보내면 언제 받아요?
3788	그러면 일요일에 송금하면 월요일에 들어가나요?
3790	그럼 본인이 직접 인출할 수 있나요?
3792	보통 얼마후 인출이 되나요?
3796	외화를 보내고 싶은데 처음이라 방법좀 알려주세요
3799	영업점에 방문해서 할 수 있나요?
3801	뭘 가져가야 하나요?
3805	수수료는 얼마나 들까요?
3809	5천불씩 두번 보내는 거랑 만불 한번에 보내는 거랑 수수료가 어떻게 달라져요?
3812	해외송금은 영업일 중 아무때나 가능한가요?
3814	어느 요일이 비교적 한산할까요?
3817	텔레뱅킹으로 이체할때 이체비밀번호가 무엇인가요?
3818	통장비밀번호랑 다른가요?
3821	그러면 따로 등록을하는건가요?
3823	어떻게 하나요?
3836	어 어쩌죠. 제가 잘못해서 이체 계좌 번호를 잘못 썼어요.
3839	어떻게 취소해요?
3842	어떻게 해결해야 할까요?
3844	그러면 은행이 동의를 받아주나요?
3846	혹시 동의를 안해주면요?
3848	그러면 그 돈은 날리나요?
3851	자금반환 신청하러 은행가면 되나요?
3853	필요한 서류가 뭔가요?
3856	인터넷뱅킹으로 계좌출금을 하는데 안되네요 어떻게 하면 되죠?
3866	한도제한계좌는 얼마까지 출금이 되나요?
3869	한도제한 계좌를 푸는 방법은 무엇인가요?
3871	증빙서류가 무엇인가요?
3874	왜 이렇게 복잡해요?
3876	계좌 비밀번호에 대해서 질문 드릴게요
3880	필요한게 있나요?
3887	5회가 넘으면 어떻게 되나요?
3892	새로운 비밀번호 생성시 주의사항이 있나요?
3896	저기 은행안가고 집에서 지로납부를 할 수 있나요?
3904	어떻게 등록하나요?
3906	지로 납부는 어떤 것을 할 수 있나요?
3908	부과된 내역을 확인할 수 있나요?
3911	지로 번호를 몰라도 되는 거네요?
3913	혹시 취소도 가능한가요?
3916	스마트폰으로 전기요금 납부가 가능할까요?
3921	전기요금 메뉴가 따로 있나요?
3927	통신요금, 상하수도요금도 출금 가능한 건가요?
3929	여기 나와 있지 않은 공과금은 지로조회를 하면 되나요?
3931	전기요금 자동납부도 되나요?
3936	교통범칙금도 은행낙가고 납부가 되나요?
3941	어디서 조회하나요?
3943	미납된 것도 조회가능한가요?
3945	납부기한이 지난 것은 어떤가요?
3948	혹시 주차위반 과태료도 납부가능한가요?
3950	왜 그런가요?
3953	그럼 해당 구청에 문의해야 하나요?
3958	공과금에서 조회하라는 건가요?
3962	네, 지로가 없어도 가능한가요?
3966	재산세 말고 다른 지방세도 한번에 나오나요?
3976	자동차세 납부 하려고 합니다. 방법을 천천히 알려주실수 있나요?
3982	좀 더 자세히 말씀해 주실래요?
3990	주말에도 납부가능한가요?
3992	혹시 남편 명의로 부과된 것도 제가 납부할 수 있나요?
3994	간편 납부 번호가 있으면 남편것도 납부할 수 있다는 건가요?
3996	카드통장으로도 출금을 할 수 있어요?
3998	그러면 ATM기기에서도 출금이 가능한가요?
4000	카드통장은 어떻게 만드나요?
4003	인터넷에서 미리 신청하고 집으로 받는 방법은 없나요?
4006	신분증만 가지고 가면 되나요?
4008	도장은 필요 없나요?
4010	바로 발급되나요?
4013	카드통장 안에 여러 개를 넣을 수도 있나요?
4016	ATM에서 수표 입금하면 현금으로 출금되나요?
4018	그 자리에서 입금하고 바로 출금도 되나요?
4020	왜 그런가요?
4022	그러면 언제 출금되나요?
4024	그러면 바로 현금으로 바꾸려면 어떻게 해야 하나요?
4029	은행은 몇시까지 가야 하나요?
4031	영업시간 4시 30분까지 아닌가요?
4036	창구에서 돈을 입금했는데 언제부터 기계에서 출금되나요?
4040	동전을 창구에서 입금할 수 있나요?
4042	그러면 동전을 창구에서 입금하면 언제부터 ATM에서 출금이 가능한가요?
4049	동전 입금시 미리 세서 가야 하나요?
4052	그럼 미리 세서 가야 하나요?
4056	카드 없이도 현금인출이 가능할까요?
4058	어떻게요?
4063	1회 출금한도는 얼마인가요?
4065	무카드 출금서비스 사용하는 방법을 더 알려주세요.
4067	그렇게만 하면 되나요?
4071	그러면 그 비밀번호를 누르면 되는 건가요?
4073	100만원 이상 출금하려면요?
4075	그 경우에는 얼마까지 출금 되나요?
4077	통장에 잔액이 있는데 출금이 안되요. 왜 그럴까요?
4083	그럼 출금은 못하는 건가요?
4085	공인인증서 접속하고 하면 되나요?
4087	그러면 바로 출금이체가 되나요?
4089	혹시 제가 소액이 남아 있는 제 명의 계좌가 또 있나요? 
4091	휴면 계좌에 남은 잔액은 어떻게 출금하나요?
4093	왜 휴면이 되었나요?
4097	카드값을 선결제 처리 하고 싶어요.
4101	즉시 결제 서비스는 어디서 할 수 있나요?
4105	로그인은 어떻게 하나요?
4107	즉시 결제는 스마트폰 앱에서 하면 되나요?
4109	결제 계좌는 지정 출금 계좌만 되나요?
4111	혹시 다른 계좌에서 출금하고 싶으신가요?
4116	오픈뱅킹에서 출금을 할건데 방법을 알려주세요.
4122	어떻게 충전하나요?
4124	그리고 ATM기기에서 출금하나요?
4126	비밀번호는 어떻게 되나요?
4128	1회용 비밀번호인가요?
4133	되는 기기인지 어떻게 아나요?
4138	어머니 통장과 도장으로 제가 대리인으로 인출 가능한가요?
4142	어머니가 그렇게 하시길 원하시나요?
4147	아 그렇게 하면 처리해 주시나요?
4150	혹시 제가 어머니 대신 어머니 인터넷 뱅킹 등록도 할 수 있을까요?
4153	현금카드 신청도 안되나요?
4157	통장만 있어도 출금이되나요?
4159	창구로 가야 하나요?
4161	창구에 가서 통장 출금후 바로 현금카드 새로발급이 될까요?
4163	혹시 현금카드를 주운 사람이 사용하면 어떻게 되나요?
4166	챗봇에서 분실신고 접수되나요?
4173	가져가야 할 것이 있나요?
4176	입출금 문자알림서비스에 가입하고 싶어요.
4177	혹시 무료인가요?
4179	친구는 무료로 사용하던데 왜 그런가요?
4183	어떻게 신청하나요?
