,대화셋일련번호,content
2419,A32732,연납으로 납부하셨으면 10% 할인을 받으셨겠습니다.
2420,A32732,네 그러고는 있었어요
2421,A32732,근데 차량도 오래되고 세금도 채 20만원이 안나와서요
2422,A32732,그래도 연납으로 납부하시는 것이 유리하실텐데요
2423,A32732,할 수 없죠뭐
2424,A32732,유달리 내년 1월에는 지출할 돈이 많아질 것 같아서 납부가 안될것 같은데 어쩌죠?
2425,A32732,반기납으로 신청가능 하십니다.
2426,A32732,어떻게 신청해요
2427,A32732,고객님 계시는 해당 구청에 전화하셔도 되시구요
2428,A32732,전화해야되는거네
2429,A32732,다른 방법은 없어요?
2430,A32732,위택스 접속하셔셔 반기납으로 신청하셔도 됩니다.
2431,A32732,그거 좋네요
2432,A32732,1월에는 못내고 2월부터는 낼 수 있는데요
2433,A32732,그러면 반기납으로 신청하셨다가 3월에 6월분을 납부하시면 7.5% 할인 받아서 납부하실 수 있어요
2434,A32732,7.5%도 좋네
2435,A32732,다른 문의 사항이 있습니까?
2436,A32733,차를 갑자기 다음달에 팔아야 될 것 같아서요
2437,A32733,궁금하신 사항이 어떤건가요?
2438,A32733,제가 자동차세를 1월에 납부했거든요
2439,A32733,네 고객님
2440,A32733,근데 연납으로 10% 할인 받아서 냈어요
2441,A32733,지금 가지고 계신 차량의 세금을 말씀하시는 건가요?
2442,A32733,네
2443,A32733,계속 말씀해 주세요
2444,A32733,근데 갑자기 차를 팔아야 하는데 세금 낸건 어떻게 되는거예요?
2445,A32733,자동차세금을 납부하신 차량을 곧 파실 예정이시란거죠?
2446,A32733,네
2447,A32733,납부한 세금은 환급이 되십니다.
2448,A32733,그럼 한달분은 공제하고 돌려받는 거예요?
2449,A32733,그렇습니다.
2450,A32733,그렇긴 한데
2451,A32733,한달분은 할인안된 금액을 빼고 돌려주시는 거죠?
2452,A32733,그렇습니다. 2월에 파를 판매예정이시라면 1월분은 세금납부하신 금액을 공제하고 환급해드리고 있습니다.
2453,A32733,언제 환급해줘요
2454,A32733,차량 판매를 하시고 나시면 문의 전화 주세요
2455,A32733,아 알겠습니다.
2456,A32734,자동차세 고지서가 저한테 왔는데요 저 말고 다른 사람이 납부할 수 없나요?
2457,A32734,자동차세 납부고지서를 받으셨나요?
2458,A32734,네 받긴 했는데요
2459,A32734,어떤 점이 궁금하신거죠?
2460,A32734,"차 소유주는 제가 맞는데요, 아버지가 타고 계시거든요"
2461,A32734,본인이 소유주이시고 사용하시는 분은 아버지시군요
2462,A32734,네 그래서 아버지가 세금을 낼려구요
2463,A32734,세금 납부하시는 분이 아버지이신가요?
2464,A32734,네 세금 내주시기로 하고 차를 사용하시는 거거든요
2465,A32734,고지서를 지금 가지고 계신가요?
2466,A32734,네 지금 보고 있어요
2467,A32734,고지서 납부내역에 보시면 가상계좌 입금계좌번호가 있습니다.
2468,A32734,아 그렇군요
2469,A32734,가상계좌로 아버님이 이체하시면 차량 소유주분의 성함이 예금주로 나오세요
2470,A32734,그럼 그 계좌로 자동차세 만큼 입금하면 되겠네요
2471,A32734,그렇습니다.
2472,A32734,위택스에서도 바로 입금안되나요?
2473,A32734,타인납부를 이용하시면 위택스를 이용한 신용카드 납부도 가능하십니다.
2474,A32734,신용카드가 필요했어요
2475,A32734,도움되셨다니 다행입니다.
2476,A32735,자동차세 고지서를 받았어요
2477,A32735,요번달 받으셨나요?
2478,A32735,네 요번달 말일까지 납부일이네요
2479,A32735,그렇습니다. 연 2회 발행되는 고지서입니다.
2480,A32735,요번달까지 납부안하게되면요?
2481,A32735,세금 연체이율에 따라 연체금이 같이 고지됩니다.
2482,A32735,빨리 납부해야겠네요
2483,A32735,근데 신용카드 납부할려고 보니까 위택스로 해야되던데요?
2484,A32735,네 위택스를 이용하시면 신용카드 납부가 가능하십니다.
2485,A32735,근데 제가 회원가입이 안되어 있어요
2486,A32735,네 인터넷 지로 비회원 납부를 이용하시면 되세요
2487,A32735,비회원도 되는구나
2488,A32735,어떻게 해요?
2489,A32735,위택스 인터넷납부를 이용하실 경우 개인정보 모두 동의해주시면 되세요
2490,A32735,모두 동의하고 카드 번호 입력하면 되나요?
2491,A32735,네 그렇습니다.
2492,A32735,비회원이면 납부하고 납부완료 조회 안되는거죠?
2493,A32735,아닙니다. 받으신 고지서의 고지번호를 입력하시면 완납하셨는지 확인 가능하십니다.
2494,A32735,좋네요
2495,A32735,감사합니다. 즐거운 하루 보내세요
2496,A32736,아버지한테 자동차세 납부해달라고 부탁드렸는데 고지서 금액보다 많이 입금했어요
2497,A32736,자동차세 고지서를 받으셨나요?
2498,A32736,고지서는 제가 받았어요
2499,A32736,세금 입금은 아버지가 하셨군요
2500,A32736,네 가상계좌를 제가 아버지한테 알려드렸거든요
2501,A32736,금액은 말씀을 해주지 않으셨나요?
2502,A32736,아니요 말했어요
2503,A32736,그러셨군요
2504,A32736,"근데 아버지가 367,800원인데 370,000입금 하셨데요"
2505,A32736,"고지된 금액보다 2,200원 더 납부하신 건가요?"
2506,A32736,그러신것 같아요
2507,A32736,위택스 접속하시면 과오납된 금액을 조회하실 수 있습니다.
2508,A32736,다시 돌려받을 수도 있나요?
2509,A32736,당연합니다.
2510,A32736,다행이네요
2511,A32736,그럼 환급신청은 제가 해야되는거죠?
2512,A32736,네 본인이 로그인 하신후 환급신청하시고 환급받으실 계좌번호 입력하시면 됩니다.
2513,A32736,제 이름으로 된 통장번호 넣으면 되나요?
2514,A32736,그렇습니다.
2515,A32736,감사합니다.
2516,A32737,자동차세를 잘 못 납부했어요?
2517,A32737,네 고객님
2518,A32737,고지되어진 자동차세금을 말씀하시는 건가요?
2519,A32737,네 자세히 보니까 돈입금을 잘 못했네요
2520,A32737,가상계좌를 이용하셨나요?
2521,A32737,네 
2522,A32737,위택스에 접속하시면 과오납된 금액을 확인하실 수 있습니다.
2523,A32737,지금 접속해 볼께요
2524,A32737,알겠습니니다.
2525,A32737,쫌 이상해요
2526,A32737,어떤게 말씀이신가요?
2527,A32737,과오납된 금액이 0원이예요
2528,A32737,자동차세금을 과납부하신게 맞으신가요?
2529,A32737,"네 10,000원 정도 더 납부했거든요"
2530,A32737,지방세 환급 대상이 0원일경우 혹시 그 전에 미납되신 지방세가 있을시 충당 되는 일도 있습니다.
2531,A32737,세금 미납이요? 제가요?
2532,A32737,네 그렇습니다.
2533,A32737,아 주민세
2534,A32737,주민세 납부가 밀렸었나봐요
2535,A32737,확인해 보시는 것이 좋을 것 같습니다.
2536,A32738,신용대출 신청할려고 하는데 신용등급은 조회하는 곳이 따로 있나요?
2537,A32738,고객님 신용등급이 궁금하신가요?
2538,A32738,한번 알아나 볼려구요
2539,A32738,고객님 거래 은행에서 개인신용정보조회를 통한 신용등급 확인이 가능하십니다.
2540,A32738,은행에 가야되요?
2541,A32738,귀찮은데
2542,A32738,개인신용정보조회를 다른 방법으로 할 수는 없나요?
2543,A32738,00신용정보원에서 조회가능하십니다.
2544,A32738,신용정보조회서를 가지고 가야하던데 그건요?
2545,A32738,네 00신용정보원에서 무료발급되세요
2546,A32738,돈내야 된다고 하던데
2547,A32738,수수료 있는거 아니예요?
2548,A32738,신용조회 회사는 유료로 발급서비스 하고 있어요
2549,A32738,무료도 있고 돈내는 것도 있구나
2550,A32738,신용정보조회서는 왜 가지고 가야되요?
2551,A32738,신용등급을 기준으로 대출 내역 확인용으로 사용됩니다.
2552,A32738,아직 잘 이해가 안되는 부분이 많네요
2553,A32738,우선은 00신용정보원이란데를 들어가봐야한다는 거죠?
2554,A32738,그렇습니다.
2555,A32738,알겠습니다.
2556,A32739,쫌 전에 물어봤는데 신용정보조회서요
2557,A32739,네 고객님
2558,A32739,발급받을려면 직접 가야되요?
2559,A32739,은행연합회를 방문하신다는 말씀이신가요?
2560,A32739,거긴 또 어디래?
2561,A32739,좀전에는 00신용정보원이라고 하셨는데요?
2562,A32739,신용정보기관에 가지 않고 은행 연합회에 방문하시면 되세요
2563,A32739,그렇구나
2564,A32739,거긴 어디있어요?
2565,A32739,서울입니다.
2566,A32739,잉
2567,A32739,여기 울산인데요?
2568,A32739,은행연합회는 서울 명동에 위치하고 있습니다.
2569,A32739,다른데는 없어요?
2570,A32739,네 현재 한곳 뿐입니다.
2571,A32739,서울은 못가지
2572,A32739,그럼 어떡해요
2573,A32739,00000사이트에서 발급 받으시면 되십니다.
2574,A32739,그럼 서울 안가도 되네요
2575,A32739,네 온라인 발급 하시면 됩니다.
2576,A32740,대출금 저번달에 다 갚았는데 이자가 요번달에 또 나왔어요
2577,A32740,확인해 보겠습니다.
2578,A32740,네 퍼뜩해주세요
2579,A32740,고객님 대출금 완납하신 날짜가 언제 이신가요?
2580,A32740,저번달 15일이요
2581,A32740,그러면 대출금 이자 납부일 날짜는요?
2582,A32740,매달 15일이요
2583,A32740,그럼 대출금 원금과 이자일이 모두 15일 인가요?
2584,A32740,네. 한꺼번에 갚았어요
2585,A32740,대출금 상환일과 납부하신 날짜가 같으시다면 이자가 이중출금 되실 경우가 있습니다.
2586,A32740,그러면 제가 상환일에 이자를 갚아서 그렇다는 건가요?
2587,A32740,그렇습니다.
2588,A32740,아..날짜가 겹쳐서 그렇구나
2589,A32740,대출금 상환하실 때 안내가 있었을겁니다.
2590,A32740,대출금 갚는데 정신이 팔려서 못들었나봐요
2591,A32740,그럼 어떻게 해요?
2592,A32740,이중 출금된 이자분은 상환이 되십니다.
2593,A32740,그래도 다행이네요
2594,A32740,언제 입금되요?
2595,A32740,내일 입금 처리해 드리겠습니다
2596,A32741,"대출금 이자 이체해주신다고 했는데, 아직 안들어와서요"
2597,A32741,불편을 드려서 죄송합니다.
2598,A32741,대출금 이자를 환급 받으시는 문의이신가요?
2599,A32741,어제 이자 두번출금되서 전화드렸어요
2600,A32741,상담내용 확인해 보겠습니다.
2601,A32741,000고객님 맞으신가요?
2602,A32741,네 맞아요
2603,A32741,상담내역 확인했습니다
2604,A32741,대출금 이자부분이 이중출금되어서 환급된는 내용이 맞으신가요?
2605,A32741,네 어제 통화했었어요
2606,A32741,환급되는 계좌가 확인이 안되고 있습니다.
2607,A32741,어제 계좌번호 불러줬는데요?
2608,A32741,계좌번호 다시 한번 확인하겠습니다.
2609,A32741,OOOOOO-OO-OOOOOO이 맞으신가요
2610,A32741,아 틀린데요
2611,A32741,계좌번호가 어떻게 되십니까?
2612,A32741,맨 끝에 00이 더 있어요
2613,A32741,다시 한번 계좌번호 불러주시겠습니까?
2614,A32741,OOOOOO-OO-OOOOOO-OO이요
2615,A32741,알겠습니다. 바로 환급해드리겠습니다.
2616,A32742,현금서비스 한도 금액 올려주세요
2617,A32742,반갑습니다. 고객님
2618,A32742,문의하신내용이 단기카드대출한도 상향이십니까?
2619,A32742,현금서비스요
2620,A32742,네 현금서비스와 단기카드대출이 같은것입니다.
2621,A32742,아하
2622,A32742,네 그거 금액 올릴 수 있어요?
2623,A32742,상향 가능은 고객님의 신용도에 따라서 다릅니다.
2624,A32742,혹시 상향가능 안내를 받으셨나요?
2625,A32742,저번달에 한번 온것 같은데요
2626,A32742,문자 받은시기가 지나면 올릴 수 없나요?
2627,A32742,그런 것은 아닙니다.
2628,A32742,우선 상향 가능한지 조회해봐도 되겠습니까?
2629,A32742,네
2630,A32742,소중한 정보 감사드립니다.
2631,A32742,고객님 현재 현금서비스 한도는 0원이 맞습니까?
2632,A32742,네 현금서비스 금액을 없애놨었거든요
2633,A32742,상향 가능하십니다. 그런데 금액이 50만원밖에 안되시네요
2634,A32742,"많이 필요없어요, 혹시나 해서요"
2635,A32742,50만원 한도내에서 상향 가능하십니다.
2636,A32743,대출금 중도 상환하고 싶어요
2637,A32743,네 중도상환 가능하십니다.
2638,A32743,상환할려면 날짜를 따로 정해야 되는건가요?
2639,A32743,그렇지 않습니다. 언제든지 상환가능하십니다.
2640,A32743,잘 됐네요
2641,A32743,상환이자는 어떻게 알 수 있어요?
2642,A32743,이자는 상환하실 예정이신 날짜를 말씀해 주시면 금액을 알려드립니다.
2643,A32743,일자마다 틀리구나
2644,A32743,그러면 2일 후에 할려구요
2645,A32743,조회해 보겠습니다.
2646,A32743,20일자 상환일이십니까?
2647,A32743,"그렇네요, 20일 맞아요"
2648,A32743,"상환이자는 000,000원입니다."
2649,A32743,오 많네
2650,A32743,그럼 제가 원하는 원금이랑 알려주신 이자랑 20일날 갚으면 되나요?
2651,A32743,네 그렇습니다.
2652,A32743,은행가서 갚아야 하죠?
2653,A32743,아닙니다. 인터넷 뱅킹이나 핸드폰을 이용한 스마트뱅킹을 사용하셔도 됩니다.
2654,A32743,그럼 핸드폰이 편하겠네
2655,A32743,알겠습니다. 고객님
2656,A32744,대출금 이자 좀 알려주세요
2657,A32744,반갑습니다.고객님
2658,A32744,고객님 정보 조회 해도 되겠습니까
2659,A32744,뭘 알려주면 될까요?
2660,A32744,성함이 어떻게 되십니까?
2661,A32744,000입니다.
2662,A32744,000고객님 주민등록번호도 불러주세요
2663,A32744,OOOOOO-OOOOOO입니다.
2664,A32744,대출 조회해 보겠습니다.
2665,A32744,현재 원금은 000백만원이십니다. 이자는 몇일자로 알려드릴까요?
2666,A32744,내일날짜요?
2667,A32744,16일 말씀이십니까?
2668,A32744,네
2669,A32744,"16일까지 이자금액은 00,000원 입니다."
2670,A32744,이자 많네요
2671,A32744,그러면 원금은 다 못갚는데 어떻게요?
2672,A32744,네 원금은 고객님이 상환할 금액만큼 하시면 됩니다.
2673,A32744,아 글쿠나
2674,A32744,원금 일부하고 내일까지 이자 금액하고 들고 은행가면 되죠?
2675,A32744,그렇습니다.
2676,A32745,대출 신청할 수 있어요?
2677,A32745,어떤 종류의 대출이 신청하실 건가요?
2678,A32745,전세계약서 대출이요
2679,A32745,죄송합니다. 당사에서는 전세계약서만 가지고는 대출이 불가하세요
2680,A32745,전세계약서만 가지고 대출해주는데가 있어요?
2681,A32745,00의 0000대출에서는 가능하시네요
2682,A32745,찾아주셔셔 감사해요
2683,A32745,근데 0000대출은 뭐예요?
2684,A32745,서민을 위한 실질적인 대출을 지원해주는 서비스입니다.
2685,A32745,그런게 있구나
2686,A32745,그럼 제가 그걸 받을 자격은 있는건가요?
2687,A32745,자격요건이 몇가지 있으시긴 합니다.
2688,A32745,그것도 조건이 있군요
2689,A32745,자격요건 어떤거요?
2690,A32745,"직업군과, 연소득, 신용등급등을 요건으로 하고 있습니다."
2691,A32745,복잡하네요
2692,A32745,직업은 어떤게 해당되요?
2693,A32745,"직장인, 사업자, 프리랜서 직업이 있으시네요"
2694,A32745,거기에 속해도 신용등급이 좋아야 되는거죠?
2695,A32745,"KCB 1에서 8등급까지 있으신데, 해당만 되면 되세요"
2696,A32746,"대출때문에 문의드렸는데요, KCB 등급이 뭐예요?"
2697,A32746,네 고객님
2698,A32746,신용등급에 대한 문의이신가요?
2699,A32746,상담하고 전화를 끊었는데 KCB 그게 궁금해서요
2700,A32746,그러시군요
2701,A32746,KCB 신용등급에 대해서 알려드릴까요?
2702,A32746,해당되는지 궁금해요
2703,A32746,우리나라에는 신용등급평가가 크게 NICE와 KCB 두가지가 있습니다.
2704,A32746,그렇군요
2705,A32746,KCB 는 코리아크레딧뷰라고 불리는 회사에서 지정하는 신용등급입니다.
2706,A32746,그 회사는 어떤회사인데요?
2707,A32746,개인 및 회사의 금융거래에 대하여 조사하는 일을 하고 있습니다.
2708,A32746,회사에서 신용등급을 평가하는 거예요?
2709,A32746,신용등급을 평가해주는 전문회사인 셈이죠
2710,A32746,그럼 그 회사에서 제 신용을 평가해서 등급을 주면 은행에서 이용하는 거구요?
2711,A32746,그렇습니다.
2712,A32746,신용등급을 잘 모르는데
2713,A32746,고객님의 신용등급을 알고 싶으신가요?
2714,A32746,그게 필요한거니까요
2715,A32746,지점 방문하셔셔 개인정보동의 해주시면 신용등급 확인하실 수 있습니다.
2716,A32747,신용등급을 찾아보니까 NICE신용등급평가하는게 있던데 그건 뭐예요?
2717,A32747,신용등급에 관히 궁금하시군요?
2718,A32747,네 은행마다 적용하는 신용등급이 다르더라구요
2719,A32747,그렇습니다.
2720,A32747,NICE신용평가에 대해서 대략적으로 설명해 드릴까요?
2721,A32747,네 그래주시면 감사하겠습니다.
2722,A32747,우리나라에서 신용등급을 평가하는 회사는 크게 두군데인데 그중 한 회사입니다.
2723,A32747,회사였어요?
2724,A32747,신용등급을 측정하는 전문 회사입니다.
2725,A32747,그렇구나
2726,A32747,그럼 이 회사에서 제 금융정보에 따라서 신용등급을 측정하는 거예요?
2727,A32747,네 고객님의 신용거래를 통해서 신용등급을 평가합니다.
2728,A32747,연체가 몇번 있었는데
2729,A32747,그럼 제 신용등급이 연체로 인해서 낮을 수도 있겠네요
2730,A32747,연체정보는 3개월이 지나면 적용되지 않습니다.
2731,A32747,연체는 작년에 두번 했었거든요
2732,A32747,올해는 연체내역이 없으신가요?
2733,A32747,네 올해는 연체한적은 없는 것 같아요
2734,A32747,고객님의 신용정보를 알고 싶으신가요?
2735,A32747,네
2736,A32748,신용정보 알려면 은행가야되는건가요?
2737,A32748,고객님의 신용등급을 알고 싶으신가요?
2738,A32748,갑자기 궁금해서요
2739,A32748,신용등급으로 사용하실 일이 있으신가요?
2740,A32748,아니요 아직은 없어요
2741,A32748,신용등급도 자꾸 조회하면 등급이 낮아진다는 게 맞아요?
2742,A32748,조회를 자주한다고 해서 낮아지는 것은 아닙니다.
2743,A32748,뜬소리였네요
2744,A32748,등급조회 바로 할 수 있는 방법이 있나요?
2745,A32748,은행지점에 방문해 주시고 개인정보 동의하시면 바로 아실 수 있습니다.
2746,A32748,은행마다 제 신용등급이 다르게 나올 수도 있나요?
2747,A32748,은행마다 신용등급을 받아보는 곳이 다를 수 있습니다.
2748,A32748,다르다니 황당하네요
2749,A32748,제 신용등급은 지금 똑같이 나와야 하는거 아닌가요?
2750,A32748,죄송합니다. 은행별로 사용하는 신용등급평가하는 프로그램이 다를 수 있음을 고지해 드립니다.
2751,A32748,그렇군요
2752,A32748,은행가서 말고는 없어요?
2753,A32748,은행 앱을 통해서도 조회 가능하십니다.
2754,A32748,간단한 방법이 있었네요
2755,A32748,도움되셨다니 다행입니다.
2756,A32749,신용등급을 높이는 방법이 따로 있나요?
2757,A32749,고객님의 신용등급이 궁금하신가요?
2758,A32749,아니요
2759,A32749,신용등급을 높일 수 있는 방법이 궁금한거거든요
2760,A32749,신용등급 상향을 위한 방법을 안내해드리겠습니다.
2761,A32749,신용등급이 낮을 수록 대출금리가 비싸다고 해서요
2762,A32749,그러시군요
2763,A32749,핸드폰 요금도 연체하면 신용등급에 영향이 있는거죠?
2764,A32749,그렇습니다. 아무리 작은 금액이라도 연체정보가 있다면 신용등급이 낮아집니다.
2765,A32749,근데 연체정보가 있어도 금방 회복되지 않나요?
2766,A32749,대출금 연체정보가 있을시 최대 5년 까지는 신용평가에 부정적일 수 있습니다.
2767,A32749,5년이나
2768,A32749,그럼 신용 회복하는 방법은요?
2769,A32749,"통신요금이나 국민연금, 건강보험, 도시, 수도요금등을 6개월이상 납부한 실적이 있으시면 신용점수를 조금 더 받으실 수 있습니다."
2770,A32749,직장을 다니면 자연적으로 내야 하는 금액이잖아요
2771,A32749,그렇습니다.
2772,A32749,또요
2773,A32749,신용카드 등도 연체없이 사용하셔야 합니다. 
2774,A32749,현금서비스는요?
2775,A32749,현금서비스는 부채로 잡히기 때문에 될 수 있으면 자제하시는 것이 좋습니다.
2776,A32750,엄마가 여행가면서 체크카드를 주고갔는데. 제가 현금출금할 수 있어요
2777,A32750,어머니 체크카드 인가요?
2778,A32750,네. 엄마가 잠깐동안 쓰라고 주셨어요
2779,A32750,그러시군요
2780,A32750,혹시 어머니께서 카드 비밀번호도 알려주셨나요?
2781,A32750,네 말해주고 갔어요
2782,A32750,체크카드의 경우에는 비밀번호를 알고 있다면 출금이 가능합니다.
2783,A32750,혹시 제 카드가 아니라서 뭐 확인하는 건 없어요?
2784,A32750,네 비밀번호를 알고 계시기 때문에 따로 확인은 하지 않습니다.
2785,A32750,출금하는데 금액이 정해져 있나요?
2786,A32750,아닙니다. 체크카드와 연계된 통장의 잔액만큼 출금하실수 있습니다.
2787,A32750,이상하네
2788,A32750,제가 가지고 있는 체크카드는 5만원 밖에 출금못하던데요?
2789,A32750,그러시군요
2790,A32750,본인이 가지고 있는 체크카드 명의는 누구인가요?
2791,A32750,저요
2792,A32750,미성년자의 체크카드인 경우 출금 한도 적용을 받으십니다.
2793,A32750,그럼 지금 사용할려는 체크카드가 엄마이름으로 되어 있어서 출금하는 금액이 상관 없는 거예요?
2794,A32750,맞습니다. 고객님
2795,A32750,정말 감사드려요
2796,A32751,간편결제가 뭐예요?
2797,A32751,반갑습니다. 고객님
2798,A32751,어떤 안내를 받으신 건가요?
2799,A32751,문자로 간편결제하면 할인해 준다고 해서요?
2800,A32751,그러시군요
2801,A32751,그럼 혹시 문자 내용을 알려주실 수 있으실까요?
2802,A32751,네 간편결제 5천원 할인혜택 된다는 내용이예요?
2803,A32751,카카오페이에 저희 카드를 등록하시고 사용하시면 처음결제건은 5천 할인 청구되는 내용입니다.
2804,A32751,그럼 5천원만 결제하면 5천원 할인되서 0원인거예요?
2805,A32751,1만원이상 결제시 5천원 할인되는 내용입니다.
2806,A32751,그래요
2807,A32751,그럼 편의점에서 1만원 쓰고 카카오페이에 이 카드 사용하면 되는건가요?
2808,A32751,네 그렇습니다.
2809,A32751,간단하네요
2810,A32751,언제든 사용하면 되는거예요?
2811,A32751,아닙니다. 11월 1일부터 11월 30일까지가 할인행사 기간이네요
2812,A32751,그건 잘 못 봤네요
2813,A32751,그럼 그 기간이 지나면 할인 안된다는 거죠?
2814,A32751,네 그렇습니다.
2815,A32751,설명 고맙습니다.
2816,A32752,간편결제 어떻게 해야되나요?
2817,A32752,간편결제에 대해서 궁금하시군요
2818,A32752,뭐  문자가 하나 오긴했는데 잘 모르겠네요
2819,A32752,간편결제에 대해서 안내해 드리겠습니다.
2820,A32752,감사합니다.
2821,A32752,지금 네이버페이 사용하실때 저희 현대카드를 앱카드로 등록하셔셔 사용하여 주시면 됩니다.
2822,A32752,앱카드요?
2823,A32752,구글 앱에서 네이버페이 설치하시고 카드 등록해 주세요
2824,A32752,카드 등록해야하는군요
2825,A32752,실제 제가 들고 있는 카드를 등록하란 거죠?
2826,A32752,네 카드 번호와 카드 뒷면 끝자리 3자리 입력하시고
2827,A32752,그리구요
2828,A32752,앱에 등록된 카드 사용할 비밀번호를 입력하시면 됩니다.
2829,A32752,아하
2830,A32752,그럼 이게 삼성페이 결제하는 거랑 같은건가요?
2831,A32752,네 그렇습니다. 결제어플리케이션이 네이버페이와 카카오페이가 이벤트 중입니다.
2832,A32752,그런 내용이구나
2833,A32752,요번 한달동안 네이버페이 간편결제 사용해 보시는건 어떤가요?
2834,A32752,삼성페이를 쓰고 있어서요
2835,A32752,네이버페이를 이용해 결제를 하시더라도 같은 카드사용금액으로 청구됩니다.
2836,A32753,간편결제로 결제할려고 해보니까 잘안되서요
2837,A32753,어떤 점이 잘 안되시던가요?
2838,A32753,문자로 와서 간편결제를 등록하고 있어요
2839,A32753,네 고객님
2840,A32753,간편결제에 카드 등록을 한번도 안해봐서 잘 모르겠어요
2841,A32753,천천히 도와드리겠습니다.
2842,A32753,카카오페이로 등록하실 건가요?
2843,A32753,네
2844,A32753,구글 앱에서 카카오페이를 설치해주세요
2845,A32753,설치는 되어 있어요
2846,A32753,그럼 카카오페이를 실행해주시겠어요
2847,A32753,잠깐만요
2848,A32753,그러신 후에 카카오페이 하단에 보시면 네모박스에 플러스 표시가 있으십니다.
2849,A32753,찾았어요
2850,A32753,클릭한번 하시면 카드 등록하실 수 있어요
2851,A32753,그렇군요
2852,A32753,카카오카드는 없는데요?
2853,A32753,네 카카오페이는 결제시 이용하시는 앱이라서 사용하실 카드를 등록해 주시면 됩니다.
2854,A32753,아 여기다가 등록해서 쓰는거구나
2855,A32753,도움이 되셨습니까?
2856,A32754,제 친구는 간편결재하면 할인되는 문자가 안왔데요
2857,A32754,반갑습니다. 고객님
2858,A32754,어떤 점이 궁금하신가요?
2859,A32754,친구도 저랑 같은 카드 쓰고 있거든요
2860,A32754,네
2861,A32754,5천원 쿠폰안내문자가 친구는 안왔는데요?
2862,A32754,마케팅 동의한 고객님들께 발송되는 이벤트 문자알림입니다.
2863,A32754,친구한테는 왜 문자 안왔어요
2864,A32754,1년동안 네이버 페이나 카카오페이의 사용내역이 없으신 고객님께 발송됩니다.
2865,A32754,글쿠나
2866,A32754,그럼 친구는 그걸 계속 써오고 있기 때문에 할인을 안해주는거예요?
2867,A32754,네 정확한 정보는 친구분이 고객센터 전화하셔서 알아보셔야 합니다.
2868,A32754,간편결재 등록해서 5천원 할인받는 조건이 따로 있어요?
2869,A32754,카드 합산 사용금액이 10만원 이상이신 경우 청구시 할인되는 이벤트입니다.
2870,A32754,합해서요
2871,A32754,합산이면 기간이 따로 있겠네요
2872,A32754,그렇습니다. 11월 한달동안의 합산금액입니다.
2873,A32754,잘 사용하지 않는 카드인데
2874,A32754,11월에는 저희 카드 간편결제를 사용해 보시는건 어떠세요
2875,A32754,혜택이 있다면 사용해 볼께요
2876,A32755,제가 18살인데요 50만원이 필요하거든요
2877,A32755,18세이시면 미성년자 인가요?
2878,A32755,네 학생이예요
2879,A32755,만으로 17세 이신거죠?
2880,A32755,생일이 지났으니까  맞아요
2881,A32755,출금은 은행에서 하시나요?
2882,A32755,아니요 집앞에 ATM기에서 할려구요
2883,A32755,미성년자의 ATM기 출금 한도가 1일 30만원입니다.
2884,A32755,30만원 밖에 안되요?
2885,A32755,네 그렇습니다.
2886,A32755,엄마는 한번에 70만원 뽑던데요
2887,A32755,네 청소년이시기 때문에 한도가 다릅니다.
2888,A32755,에잇
2889,A32755,그럼 은행가서 뽑으면 50만원 찾으면 되는거죠?
2890,A32755,죄송합니다. 부모동행을 하셔야 합니다.
2891,A32755,엄마한테 말하고 가는건데요
2892,A32755,청소년 혼자 오시면 50만원을 출금해 드리고 있지 않습니다. 부모님 동행을 요구할 것입니다.
2893,A32755,그럼 다른 통장에 송금할려면요?
2894,A32755,은행에서 창구거래는 1일 100만원이 한도이므로 부모동행 하셔야 가능합니다.
2895,A32755,무조건 엄마랑 같이 가야하는거네요
2896,A32756,저 혼자서는 50만원  뽑을 수 있는 방법이 있나요?
2897,A32756,반갑습니다. 고객님
2898,A32756,어떤 문의 인지 자세히 설명해 주시겠어요?
2899,A32756,ATM기로는 30만원 밖에 출금 못한다고 해서요
2900,A32756,전화문의 주셨습니까?
2901,A32756,네 쫌전에요
2902,A32756,학생이신가요?
2903,A32756,네 고등학생이요
2904,A32756,미성년자는 ATM기 출금한도가 정해져 있습니다.
2905,A32756,그러면 ATM기로 30만원은 출금할 수 있죠?
2906,A32756,네 1일 한도가 30만원이므로 출금가능 하십니다.
2907,A32756,나머지 20만원을 찾을 방법이 없을까요?
2908,A32756,혹시 OO은행 카드외에 사용하시는 앱이 있으신가요?
2909,A32756,토스 사용하고 있어요
2910,A32756,토스사용하고 계시다면 토스머니를 나머지 20만원 충전해서 ATM기에서 출금하시면 됩니다.
2911,A32756,아하 그렇군요
2912,A32756,토스도 입금해서 출금하는 금액이 따로 정해져 있을까요?
2913,A32756,아닙니다. 토스는 한도가 별도로 없습니다.
2914,A32756,토스로 입금해서 출금하면 비용이 따로 있어요
2915,A32756,아니요 토스는 수수료가 없습니다.
2916,A32757,모바일 상품권 사용기한을 바꿀 수도 있나요?
2917,A32757,자세히 설명해 주시겠습니까?
2918,A32757,제가 받은 모바일 상품권이 있어요
2919,A32757,모바일 상품권을 가지고 계시는군요
2920,A32757,근데 모바일 상품권도 유효기간이 있잖아요
2921,A32757,네 그렇습니다
2922,A32757,그 유효기간 마지막날 보다 더 뒤에 사용하고 싶은데요
2923,A32757,그러시군요
