	상담사답변
3050	선물하고 싶으신 모바일 상품권을 고르시고 결제하기 하시면 됩니다.
3054	신용카드나 무통장 입금등도 가능합니다.
3057	네 가능합니다.
3066	원표시를 한번 눌러주시면 송금하는 화면이 나오십니다.
3068	부족금액은 카카오페이 연결 계좌에서 자동 충전되어서 송금됩니다.
3075	카카오톡 친구로 신청되어 있으면 가능합니다.
3079	1회 200만원 까지 입니다.
3082	카카오톡 송금서비스는 수수료가 없습니다.
3085	네 계좌변경 등록하시면 됩니다.
3087	네 그렇습니다.
3089	잔액이 0원 이어도 충전 가능한 계좌등록이 되어 있어서 1만원 단위로 자동충전 됩니다.
3092	네 상대방이 받기 완료 하기 전 취소 가능합니다.
3094	비밀번호는 5회까지 다시 입력가능합니다.
3102	그러시군요 비밀번호 5회 입력오류시는 재발급받으셔야 합니다.
3105	네 재등록 하셔야 사용가능하십니다.
3107	영문조합해서 6~10자리 이내로 만들면 되십니다.
3112	네 여러 번 하실수 있습니다.
3115	네 아무래도 메모를 해두시는 것이 좋을 것 같습니다.
3121	네 그렇습니다.
3123	문자 보내드렸습니다. 확인해 주세요
3135	고객님 주택담보대출 가능금액은 2억 5천입니다.
3144	본인확인차 몇가지 물어보겠습니다.
3150	가능하십니다.
3154	아파트 관리비 자동이체 신청을 00카드로 신청해 드렸습니다.
3160	조회해 보겠습니다.
3165	감사합지다. 조회완료되셨습니다.
3170	아닙니다. 별도로 알리실 필요는 없으십니다.
3172	아파트 관리비 자동이체신청하신 카드로 관리비 할인혜택이 있습니다.
3174	매월 10만원이상시 5,000원 할인청구되시는 서비스 입니다.
3179	가능하십니다.
3181	카드사로 신청하셔도 되고 지역별 가스회사에 전화신청하셔도 됩니다.
3183	도시가스요금의 경우는 가스회사에서도 변경가능 합니다.
3186	아니요 없습니다.
3188	아닙니다. 최초 출금일이 따로 있습니다.
3191	대부분의 카드는 신청이 가능한 걸로 알고 있습니다.
3195	같지 않아도 됩니다.
3197	금융에서는 이자율을 금리라고 표현합니다.
3199	원금을 빌려주거나 조달하는 대가인 이자를 원금에 대한 비율로 환산한 숫자입니다.
3201	과거에는 금,은 같은 희소성이 있는 재화를 거래의 대가로 지불했으나, 현대 금융시장에서는 화폐(돈)가 이를 대채합니다. 모든 상품의 거래 수단인 화폐(돈)는 이자를 통해서 시장안에서 돌고 돕니다.
3203	네. 맞습니다. 화폐란 중앙은행이나 정부로부터 대행 업무를 받은 금융기관에서 발행하는 상품의 교환 수단이며, 이를 돈이라고 부릅니다.
3205	금융시장 안에서 돈이 있는 참가자와 부족한 참가자의 거래가 성립 되려면 대가가 필요하고 이는 바로 이자입니다.
3207	네. 그렇습니다.
3209	정부, 금융기관, 기업, 가계 등이 있습니다.
3211	이자율은 기본적으로 연 단위입니다. 특별한 표기가 없다면 모두 연간 입니다.
3213	이자율은 기회비용과 신용위험비용으로 이루어집니다.
3215	네. 알겠습니다.
3217	금융시장에서 돈을 빌려주는 참가자가 돈을 빌려주는 대신 그 돈으로 활용할 수 있는 다른 기회들을 포기해야 하는 비용을 기회비용이라 합니다.
3219	돈을 빌려준 사람에 대한 신뢰 즉 신용등급에 따른 차별적 비용을 신용위험비용이라 합니다.
3221	신용평가회사가 개인별 신용거래 이력을 수집.분석해 점수화한 지표입니다.
3223	네. 그렇습니다.
3225	하위권의 일반적인 단순신용대출자의 금리가 10%가 넘는다면, 의사나 검사 같은 전문직은 절반 정도입니다.
3227	그렇습니다.
3229	그렇습니다.
3231	그렇습니다.
3233	그렇습니다.
3235	감사합니다.
3237	금융 업무에 컴퓨터나 통신기술을 이용하여 자동전자화를 실현하는 것입니다.
3239	PC뱅킹, 폰뱅킹 등등 다양하게 있습니다.
3241	시간적, 공간적 제약없이 금융서비스를 이용하는 것입니다.
3243	네. 카카오페이도 전자금융에 속합니다.
3245	먼저 카카오페이는 카카오톡 친구관계인 경우에만 송금과 받기가 가능합니다.
3247	거래를 원하는 상대방을 친구추가 하여 진행하시면 됩니다.
3249	카카오톡 친구가 아니면 계좌번호 입력을 통해서  송금을 하실 수 있습니다.
3251	숨김, 차단을 해제하셔야 가능합니다. 친구목록에 있어야 송금이 가능합니다.
3253	구매 원하는 상품의 결제수단에  카카오페이머니를 선택하면 결제가 이루어집니다.
3255	카카오페이머니 결제를 할 수 없습니다.
3258	네, 고객님 가능합니다.
3264	이체 아래의 다계좌이체를 선택하세요.
3266	출금계좌를 선택하신 후, 출금계좌비밀번호를 누르시고 다음 화면에서 여러건의 이체를 등록하시면 됩니다.
3268	네, 그리고 나서 OTP로 인증하시고, 공인인증서로 인증하시면 등록하신 건이 모두 처리됩니다.
3270	최대 10건까지 한번에 이체 가능합니다.
3272	이체수수료는 기본적으로 건당 부과되므로, 고객님이 10건을 이체하시면 10건에 관해 부과됩니다.
3274	당행이체는 무료시고, 타행이체는 수수료 면제 대상인 고객만 면제됩니다.
3280	개인형퇴직연금제도란 취업자가 재직 중에 자율로 가입하거나 퇴직 또는 이직시 받은 퇴직급여를 계속해서 적립?운용할 수 있는 퇴직연금 제도입니다.
3282	퇴직급여에 가입된 개인으로 55세 이후에 퇴직하여 퇴직급여를 수령하였거나, 퇴직연금수급권으로 담보대출을 상환했거나 퇴직급여액이 300만원이 이하인 경우만 제외하면 가입하실 수 있습니다.
3284	종합소득금액 4천만원, 근로소득만 있는 경우 총급여 5천 5백만원 이하인 거주자에 한하여 상기 16.5% 세액공제, 그 외의 경우 13.2% 세액공제로 최대 92만 4천원의 절세효과를 누리실 수 있습니다. 
3287	운용수수료는 가입자 개인에게 부과됩니다.
3289	운영기간 중 발생하는 운영수익에 대해서는 과세 이연됩니다.
3291	퇴직급여 수급시까지 세금이 이연되어 퇴직급여를 받으실 때, 세금을 납부하면 되는 제도입니다.
3293	네, 퇴직금 재원으로 연금수령시 퇴직소득세가 30% 감면됩니다. 
3295	우선 개인형 IRP계좌를 만드시고 퇴직급여정보를 사전에 등록하시면 됩니다. 이후 본인의 퇴직급여를 이체하실 수 있습니다.
3300	네, 두가지 방법이 있습니다.
3308	거기서 등록내역을 선택하고 해지하고 싶으신 출금계좌번호를 선택하여 조회된 입금계좌를 선택한 후 해지버튼을 누르시면 등록됩니다.
3312	네, 그럼 지금은 결제일 이전이기 때문에 지금 해지 신청하시면 문제없습니다.
3314	네 그렇습니다.
3321	스마트폰 뱅킹앱이 깔려 있으면 가능합니다.
3327	그러면 불편하시더라도 다시 공인인증서나 지문인증을 등록해 주셔야 진행가능합니다.
3329	인터넷뱅킹 공인인증관리센터에서 스마트폰으로 내보내기를 하시면 스마트폰에 공인인증서를 불러올 수 있습니다.
3332	로그인 하시면 메뉴 중에 이체 메뉴를 찾을 수 있어요. 이체메뉴 아래 자동이체내역 조회/해지/변경을 선택해 주시면 됩니다.
3334	네, 출금예약일을 바꾸면 됩니다.
3339	당행은 고객님들의 실적에 따라 수수료 우대서비스를 드리고 있습니다.
3342	우선 고객님의 고객등급을 조회해 보겠습니다. 잠시만 기다려 주세요.
3344	고객님은 로얄스타 고객이십니다.
3346	우선 이체수수료는 모두 면제되십니다. 또한 외환송금 수수로는 50% 우대해 드리고, 환전시 0.3% 우대해 드립니다
3348	네, 맞습니다. 이체수수료는 폰뱅킹, 인터넷뱅킹, 스마트폰뱅킹, 자동화기기에서 모두 면제됩니다. 
3352	로얄스타 윗 등급은 MVP등급으로 로얄스타 등급과 유사하며 추가로 외화송금수수료가 면제되고, 대여금고를 무료로 사용하실 수 있습니다.
3354	네, 인터넷이나 스마트폰 뱅킹 접속시 확인 가능합니다.
3358	네, 자주쓰는 계좌를 등록하시면 이체시에 입금계좌번호 입력없이 편리하게 이용하실 수 있습니다.
3361	네, 그럼 인터넷 뱅킹으로 자주쓰는 계좌를 등록하는 방법을 안내해 드리겠습니다.
3363	인터넷뱅킹 내 뱅킹관리 메뉴 아래의 이체관리 메뉴에서 등록하시면 됩니다.
3365	받는분 명의로 구별이 되고, 계좌별명을 설정해 두시면 더 편리하게 이용할 수 있습니다.
3367	네, 물론입니다. 당행, 타행 구별없이 등록이 되고, 그룹관리도 하실 수 있습니다.
3369	인터넷 뱅킹 해당 메뉴 안에 계좌순서변경이라는 메뉴가 있습니다. 계좌순서를 편리하게 변경해서 사용하실 수 있습니다.
3371	네, 인터넷뱅킹에 등록해 두시면 스마트폰뱅킹에도 불러오실 수 있습니다.
3374	네, 수정이나 삭제버튼을 클릭하시면 한번에 편집이 가능합니다.
3380	자주 이용하시는 이체내용을 등록하시면 출금 및 입금 계좌번호, 이체금액 입력 없이 간편하게 이용하실 수 있습니다.
3382	네, 그렇습니다. 매월 또는 매주 동일한 금액을 같은 수신인에게 보내는 경우에 여기에 저장해 두시면 이체시 정보를 일ㅇ리히 다 기입하지 않으셔도 불러오기를 하면 편리하게 처리하실 수 있는 기능입니다.
3384	그런 경우에는 단축이체에 등록하지 말고, 자동이체에 등록하시면 됩니다.
3387	네, 입력하신 건을 수정해 주시면 됩니다.
3389	최대 15건까지 등록이 가능하시고, 이체금액은 1회 이체한도를 초과하지 않는 범위안에서 가능합니다.
3393	네, 가능합니다.
3395	혹시, 등록하신 계좌를 해약하신 경우 등록내역이 자동 삭제되지 않으므로 등록내역을 삭제하신 후 이용하시기 바랍니다.
3398	장기미사용 계좌의 경우 이체제한이 될 수 있습니다.
3400	12개월이상 이체성거래 이용실적이 없는 경우 장기미사용으로 거래가 제한됩니다.
3404	당/타행 및 외화 자동이체 거래는 이체성 거래 이용실적에 반영되지 않습니다.
3406	말씀해 주신 계좌는 자동이체 거래 외에는 12개월 이상 일체의 거래가 없어서 이체가 제한된 것입니다.
3408	일단 영업점에 오셔서 거래를 다시 시작하도록 신청해 주세요.
3411	고객님, 이체 제한이 안 되도록 하려면, 적은 돈이라도 한번씩 계좌간 이체를 해 주시는 것이 안전합니다.
3414	네, 그렇습니다. 
3415	오랫동안 미사용인 경우, 입출금이 자유로운 예금약관에 따라 계좌개설 등의 금융거래가 제한될 수 있으니, 빠른 시일내에 방문하셔서 계좌를 활성화 시키는 것이 좋겠습니다.
3418	네, 고객님이 계좌 개설하실 때 설정해 두신 이체 한도가 적용됩니다.
3421	인터넷 뱅킹에 접속하시거나, 영업점에 방문하셔서 확인하시면 됩니다.
3423	네, 인터넷 뱅킹 내 뱅킹관리 메뉴에서 확인 가능합니다.
3427	아니요. 해당메뉴에서는 감액만 가능합니다.
3429	이체한도 증액은 가까운 영업점 또는 스마트폰 앱에서 가능합니다. 앱에서 [전체메뉴 > 스타샷 > 변경/신고/재발급 > 변경/등록 > 이체한도]에서 가능합니다.
3433	보안카드 이용고객의 경우 1회 1000만원까지만 설정됩니다.
3435	OTP를 발급받으시면 최대 5억까지 이체 한도를 증액하실 수 있습니다.
3437	네, 공과금 이체등록 가능합니다.
3439	전화요금, 전기요금, 건강보험, 교통범칙금 등 등록 가능합니다.
3442	지방세, 통합세외수입, 환경개선부담금, 상하수도요금의 전국수납이 가능함에 따라 등록가능합니다.
3444	아니요, 등록만 한 경우에는 직접 인터넷 뱅킹이나 스마트폰 뱅킹에서 납부 처리를 해 주셔야 합니다.
3447	있습니다. 예약납부등록을 하시면 됩니다.
3449	공과금 관리에서 예약납부를 등록해 두시면 됩니다. 
3451	예약납부등록서비스는 납부자가 등록한 납부지정일에 납부금액이 출금되는 서비스인데, 납부지정일 직전 영업일 18시 고지기준으로 출금됩니다.
3453	등록된 예약납부내역을 은행창구 또는 전자납부하시는 경우 이중 납부될 수 있습니다.
3455	이중 납부시 은행에서 취소가 불가능하고, 해당기관에 요청하셔서 환불받으셔야 하므로 주의하시기 바랍니다.
3459	ATM 기기에 당행카드를 투입후 타행이체를 선택하시면 됩니다. 
3461	네, 가능합니다.
3463	네, 타행이체 메뉴를 선택한 후, 현금을 ATM기기에 투입하시면 됩니다.
3465	ATM기기는 아침 7시부터 운영되므로, 7시부터 사용가능합니다.
3467	네, 이체한도는 1일 600만원입니다.
3469	인터넷 뱅킹이나 폰뱅킹을 사용하시면 개인이 설정해 둔 한도내에서 이체가 가능합니다.
3471	신분증 지참하시고 가까운 영업점으로 방문하시면 됩니다
3475	네, 가까운 영업점은 OOO점입니다.
3477	네, 가능합니다. 스마트폰뱅킹을 설치하신 후, 공인인증서나 지문인증으로 로그인하신 후 이체하시면 됩니다.
3479	스마트폰뱅킹으로 지문을 등록하시면 됩니다.
3483	앱스토에서 OO은행스마트폰뱅킹 앱을 까신후, 지문 정보를 등록을 해 주시면 됩니다. 
3485	본인 휴대폰 번호 인증만 하시면, 별도로 필요한 것은 없습니다.
3487	네, 본인 명의만 가능하십니다.
3491	네, 휴대폰번호 1개당 1명만 생체인증 서비스에 등록하실 수 있습니다. 
3493	네 그렇습니다
3495	신분증과 휴대폰만 있으시면 됩니다.
3497	죄송하지만, 인터넷 뱅킹에서는 취소하실 수 없습니다.
3500	예금주가 초과 송금한 금액 반환에 대하여 동의하면, 돌려받을 수 있습니다
3502	은행 콜센터로 연락하셔서 자금반환거래요청 할 수 있습니다.
3504	그런 경우에는, 원칙적으로 돌려받으실 수 없습니다.
3506	현재 법규상 그렇습니다.
3508	네, 고객님 아직 그런 제도가 마련되어 있지 않습니다.
3510	개인정보는 말씀드릴 수 없습니다. 
3512	콜센터에서 바로 신청 할 수 있습니다
3514	OOOO-OOOO입니다.
3519	최근 1년간 인터넷뱅킹 거래를 하지 않으면, 고객 안전을 위해 이체서비스가 일시 중지됩니다. 
3522	인터넷 뱅킹에 로그인 하시고, 이체서비스에 가서 사용자 인증을 하시면 됩니다.
3525	영업점에 방문하셔서 인터넷 뱅킹 이체서비스를 활성화 시켜 주시면 됩니다.
3528	신분증 지참하고 방문하시면 됩니다.
3530	죄송하지만, 인터넷으로 인증하시거나 영업점에 방문해 주시는 방법밖에 없습니다.
3532	영업점에 오셔서 OTP카드를 발급받으세요. 이제 보안카드는 발급하지 않고 있습니다.
3537	인터넷 뱅킹으로 가능하십니다.
3540	인터넷 뱅킹에서 생활요금 메뉴로 가시면 아파트 관리비 메뉴가 있어요. 여기에 등록하시면 됩니다.
3542	네, 자동이체해 두시면 매월말에 이체됩니다.
3550	아파트를 검색하셔서 등록하시면 됩니다.
3553	네, 지로/생활요금 메뉴 아래 자동납부 등록/해지를 선택하시면 해지도 가능합니다.
3555	네, 그렇습니다.
3559	당행이체시 무료이고, 타행이체시 수수료가 발생합니다.
3560	타행은 건당 0000원입니다
3562	네, 타행이체의 경우, 건당 부과됩니다.
3564	고객등급 로얄스타 이상이시면 면제됩니다.
3566	인터넷 홈페이지에 들어가시면 고객등급 분류기준이 나옵니다. 해당 링크를 보내드릴께요.
3569	인터넷뱅킹이나 스마트폰뱅킹 화면에 접속하시면 상단에서 고객님의 등급을 확인하실 수 있습니다.
3572	6개월에 한번씩 실적에 따라 업데이트 됩니다.
3574	문자 알림 서비스를 등록하시면 가능합니다.
3577	네 인터넷뱅킹에서 출력가능합니다.
3579	ATM 기기에서는 이체후 자동 출력됩니다.
3581	인터넷뱅킹,스마트뱅킹에서 문자 보내기 메뉴를 선택하시면 문자로 상대방에게 이체한 사실을 알릴 수 있습니다. 
3583	네 가능합니다
3585	이체결과확인에서 문자보내기를 선택하고 상대방의 번호를 입력하시면 됩니다. 
3591	최근 이체결과가 보이면 우측에서 문자알림을 선택하시고 번호를 입력하시면 됩니다.
3593	영수증은 보낼 수 없고, 이체사실만 문자로 상대에게 알리실 수 있습니다. 
3595	영수증을 파일로 저장하신 후, 상대방에게 이메일을 통해 전송하시면 됩니다.
3597	네, 이체한도를 확인해 드리겠습니다.
3600	OTP 소지고객의 경우 1회 최대 이체한도는 1억원입니다.
3602	고객님의 1일 이체한도는 2억원입니다.
3606	네, 그러면 접속하셔서 이체한도 조회/감액 메뉴를 선택하시면 됩니다.
3609	한도 증액의 경우에는 영업점을 방문해서 1일 이체한도 증액신청을 하시면 됩니다.
3612	네, 1일 이체한도 내에서 1회 이체한도만 증액하시는 경우에는 인터넷으로 하실 수 있습니다.
3614	1일 이체한도 변경을 원하시면 영업점에 방문해주시기 바랍니다.
3617	오픈뱅킹 서비스를 등록하시면 됩니다. 
3620	토스앱에서 계좌 메뉴를 선택하시고 이용하시는 은행과 계좌번호들을 연결하시면 됩니다.
3623	네, 시중은행 뿐 아니라 OO은행를 비롯한 온라인은행도 등록됩니다.
3625	계좌를 등록하면 해당은행에서 오픈뱅킹에 등록되었다는 문자를 받으실 거에요. 그러면 등록이 이루어진 것입니다.
3627	각 은행의 인터넷뱅킹이나 스마트폰 뱅킹에 일일히 접속하지 않아도, 오픈뱅킹앱에서 등록된 은행계좌에서 출금 및 이체가 가능합니다.
3629	오픈뱅킹 앱과 금융서비스 회사마다 정책이 다르니 확인하셔야 합니다. 
3631	보통 월 5회까지 무료이고, 초과시 건당 수수료가 부과됩니다.
3633	오픈뱅킹마다 멤버쉽을 운영하고 있어요. 멤버쉽 가입시 이체수수료 면제를 비롯한 다양한 혜택을 얻으실 수 있습니다.
3635	네, 매월 OOO원입니다.
3641	네, 은행 계좌나 카드로 자동납부 등록하실 수 있습니다.
3643	네, 카드로도 가능합니다.
3645	네, 삼성카드로 자동납부 신청 가능합니다.
3647	건강보험공단에 연락하셔서 카드사와 카드번호를 자동납부 등록하시면 됩니다.
3653	인터넷 뱅킹 접속하셔서, 4대보험료 메뉴를 선택하시고 통합사회보험료 납부를 선택하셔서 자동이체 등록하시면 됩니다.
3655	전화로는 불가능합니다. 개인인증이 필요해서 인터넷뱅킹으로 접속하셔야만 가능합니다.
3659	그러면 가능합니다. 
3662	인터넷 뱅킹에 접속하시면 이체메뉴 아래에 이체결과 조회가 있습니다. 여기서 확인하실 수 있습니다.
3668	고객님께서 며칠 안에 동일한 계좌로 송금하실 때에는 최근 이체계좌 조회를 통해서 해당계좌 번호를 불러 오실 수 있습니다.
3671	네, 출금이체 알림 문자서비스를 신청하시면 됩니다. 그러나 이런 경우, 보안상 상대방 계좌번호의 일부가 가려집니다.
3674	인터넷 뱅킹에 접속하셔서 개인정보 변경에서 신청가능하십니다.
3679	스마트폰에서 은행 어플을 설치하시면 휴대폰으로 송금하실 수 있습니다.
3683	플레이스토어 가셔서 은행이름을 찍으면, 스마트 폰뱅킹 앱을 설치하실 수 있습니다.
3685	인터넷 뱅킹에 접속하셔서, 공인인증서 관리 메뉴에서 스마트폰으로 공인인증서를 내보내기를 통해서 스마트폰에 공인인증서 설치를 하실 수 있습니다.
3688	지문인증을 등록하시면 공인인증서 없이도 인증하실 수 있습니다.
3690	은행 어플 설치 하지 않고, 스마트폰으로 돈을 송금하시려면 오픈뱅킹앱을 까시는 방법도 있습니다.
3693	인터넷에 검색하시면 토스 등의 오픈뱅킹 앱을 찾으실 수 있습니다.
3695	네 고객님, 은행 앱을 까시면 편리하게 휴대폰으로 편리하게 이체 뿐 아니라 다양한 서비스를 이용하실 수 있으니, 은행 앱을 사용하실 것을 권장드립니다.
3698	네, 우대고객이 되시면 타행이체 수수료가 면제되십니다.
3700	거래 실적에 따라 결정됩니다.
3705	상단에서 고객등급을 확인해 주시면 됩니다.
3708	가장 빠른 방법은 급여이체 통장을 당행으로 등록하시면 됩니다.
3710	회사의 재직증명서와 본인 신분증, 도장을 지참하시고 영업점에 방문하시면 됩니다.
3712	아니요,월10회까지 면제 입니다
3714	최소 로얄 스타 등급이 되셔야 가능합니다.
3717	네, 문자서비스 이용하시면 가능합니다.
3719	인터넷 뱅킹으로 신청하시면 됩니다. 
3722	인터넷뱅킹 접속후 개인뱅킹을 선택해 주시고, 입출금 문자서비스를 신청해 주시면 됩니다.
3724	그러면 영업점에 방문하셔서 신청하시면 됩니다.
3726	신분증만 지참하시고 아무 영업점이나 방문하시면 신청 가능합니다.
3728	네 월 700원입니다.
3730	문자서비스 신청하시면 입출금계좌에서 매월 자동 출금됩니다.
3733	네, OO 만원 이상 거래만 문자서비스 받으실 경우에는 건당 부과됩니다.
3735	건당 20원의 수수료가 부과됩니다.
3737	네 인터넷 뱅킹을 통해서 하실 수 있습니다.
3739	4대보험료 납부 메뉴를 통해서 하시면 됩니다.
3742	네, 공과금 메뉴 하단의 4대보험료의 국민연금납부를 선택하시면 됩니다.
3744	네, 자동이체 등록도 가능합니다.
3746	이체 메뉴의 자동이체등록에서 하실 수 있습니다.
3749	국민연금 공단에 전화하셔서 등록하는 방법이 있습니다.
3751	국민연금공단에 전화하셔서 자동이체 등록 신청한다고 말씀하신후, 은행과 계좌번호를 말씀하시면, 공단에서 본인인증후 즉시 자동이체 등록해 줍니다.
3754	전화번호는 OOOO입니다.
3761	OTP 뒷면에 발급일과 일련번호가 있습니다.
3765	OTP가 3년을 넘어가는데 갑자기 안되는 경우 사용연한이 다 되어서 안되는 것입니다.
3767	가까운 영업점에 방문하시어 OTP를 새로 발급받으셔야 합니다.
3771	그러면 영업점에 방문하셔서 새로 발급받으시는 방법 뿐이 없습니다.
3773	그런 경우 200만원 이하인 경우 오픈 뱅킹을 사용하는 방법이 있습니다.
3775	네, 토스 등의 오픈뱅킹앱을 다운받아 당행과 연결하여 사용하는 방법입니다.
3780	그렇다면 해외송금은 24시간동안 하실 수 있습니다.
3781	해외송금은 24시간 가능 합니다
3783	네 주말에도 해외 송금 가능합니다.
3785	영업시간내에 송금된 건에 대해 전문 처리 됩니다.
3787	다음 영업일 오전 10시에 송금됩니다.
3789	네 맞습니다.
3791	그것은 은행마다 다릅니다.
3793	일반적으로, 송금 처리후 1~2일 후에 인출이 가능합니다.
3800	네, 가능합니다. 
3804	그렇다면, 외화통장과 신분증이 필요하고, 도장이나 서명으로 날인하시면 됩니다.
3806	수수료는 송금액에 따라 차등 적용됩니다.
3810	만불까지는 수수료가 만원으로 동일하므로, 한번에 보내시는 것이 좋습니다.
3813	네, 영업일 중이면 언제든지 처리 가능합니다.
3815	매일 비슷하지만 월요일과 금요일만 피하시면 좋을 것 같습니다.
3819	이체 비밀번호는 계좌이체시에 필요한 번호로 통장비밀번호와 다릅니다.
3822	네, 별도로 등록하셔야 합니다.
3830	비밀번호는 영업점에서만 안내가 가능합니다.
3832	네 그렇습니다.
3833	텔레뱅킹 가입신청내역을 받으신 것이 있으시면, 등록하신 이체비밀번호를 확인하실 수 있습니다.
3835	그런 경우에도 영업점에 방문하셔서 새로 등록하시면 됩니다.
3840	이미 이체 완료하신 건에 대해서는 취소가 불가능합니다.
3845	그런 것은 아니고, 은행이 수신인에게 발신인이 실수로 잘못 송금한 사실을 알리고 취소에 동의해 달라는 안내문을 보냅니다.
3847	그러면 취소가 원칙적으로 불가능합니다.
3849	고객님 속상하시겠지만, 고객님의 실수이므로 은행이 별도로 처리해 드릴 수 있는 것은 따로 없습니다. 
3852	네 그렇습니다.
3859	인터넷뱅킹 접속후 뱅킹관리에 가시면 출금계좌 등록/삭제/변경에서 확인하실 수 있습니다.
3861	네, 또한 인터넷에 등록된 출금계좌를 지점에서만 출금계좌를 등록/해지할 수 있도록 변경하시려면 가까운 영업점에 방문하시거나 스마트폰 앱에서 변경하실 수 있습니다.
3863	네, 가능합니다. 분실신고 접수메뉴를 안내해 드리겠습니다.
3865	계좌 개설 후 증빙서류를 제출하지 않으면 한도제한 계좌로 묶입니다.
3867	2016년 3월 이전 개설된 계좌는 70만원까지이고, 그 이후 개설된 계좌는 30만원까지만 이체 및 출금이 가능합니다.
3870	영업점에 증빙서류를 제출하시거나 인터넷으로 파일을 접수해 주시면 됩니다.
3872	본 계좌의 사용목적인 지출 내용을 증빙하시면 됩니다. 급여, 카드결제, 관리비 결제, 생활비 사용 등에 관한 것입니다.
3875	대포통장이 많아서 2016년 이후 통장 개설 및 한도가 강화되어서 그러하오니 양해해 주시기 바랍니다.
3879	네, 인터넷뱅킹이나 스마트폰 뱅킹앱에서 계좌비밀번호 신규/변경 메뉴에서 하실 수 있습니다.
3881	현재 비밀번호, 변경후 비밀번호가 필요하시고, 보안매체인 OTP가 필요합니다.
3888	그러면 인터넷 뱅킹 사용이 불가능해 집니다.
3890	비밀번호를 잘 생각해 보시고 1번만 더 입력해 보시고, 안되시면 영업점에 방문하여 비밀번호 변경 처리를 하는 것이 안전할 것 같습니다.
3893	네, 과거에 사용했던 비밀번호, 주민번호, 전화번호 등으로는 변경하실 수 없습니다.
3895	감사합니다.
3897	네 고객님 가능합니다.
3902	스마트폰이시면 편리한 지문인증 로그인 방식을 추천드립니다.  공인인증서처럼 인증번호를 타이핑할 필요 없이 1초만에 지문 스캔으로 로그인이 가능합니다.
3905	본인 핸드폰인 것을 인증하면, 쉽게 등록하실 수 있습니다. 뱅킹앱에 있는 지문 등록 메뉴를 선택하시고 알려주는 대로 하면 쉽게 등록하실 수 있습니다.
3907	본인에게 지로로 부과된 모든 공과금을 납부하실 수 있습니다.
3909	네, 지로 납부내역 조회를 선택하시고, 조회시간을 선택하시면 해당기간 내에 고객님 명의로 발부된 지로들을 일괄 조회하실 수 있습니다.
3912	맞습니다. 지로 번호를 모르셔도 조회하셔서 납부 가능하십니다.
3914	당일 납부건에 한하여 23:30분 이전까지 취소 가능합니다.
3917	네 가능합니다. 
3922	네 그렇습니다. 공과금중 생활요금 납부 조회에 있습니다.
3925	네, 거기서 전기요금을 선택하시고, 출금계좌와 해당기간을 조회하신 후 납부하시면 됩니다.
3928	네 그렇습니다.
3930	네, 모든 공과금을 조회하시어 납부하실 수 있습니다.
3932	네, 공과금 메뉴 아래에 공과금 자동납부가 있어요. 여기에 자동납부 등록해 두시면 됩니다.
3937	네, 교통범칙금은 스마트폰 앱에서 납부하실 수 있습니다
3939	괜찮습니다. 뱅킹앱에서 직접 조회하신 후 납부하실 수 있습니다.
3942	범칙/벌과금 조회 메뉴에서 조회후 납부하시면 됩니다.
3944	네, 기간을 설정해 주시면 해당 기간내 발부된 미납 내역이 모두 조회됩니다.
3946	납부기한이 지난 건도 조회되며, 가산금과 함께 납부하시면 됩니다.
3949	주차위반 과태료는 뱅킹앱에서 납부하실 수 없습니다.
3951	교통범칙금과 달리 해당 지방 구청에서 부과하는 범칙금이라서 그렇습니다.
3954	해당 구청 홈페이지에 접속하시면 주차과태료 납부하는 곳이 따로 있습니다.
3957	공과금 납부 방법 조회 바로가기를 선택해 주세요. 대상세금은 등록면혀세, 재산세, 자동차세, 주민세입니다.
3959	네, 공과금 아래 지방세 납부를 선택해 주시면 됩니다.
3961	네, 재산세, 자동차세, 주민세, 취득세 등의 지방세를 납부하는 곳입니다.
3963	직접 지방자체단체와 주민번호를 입력하시고 조회하시면 가능합니다.
3965	네, 부과된 금액을 보실 수 있습니다.
3967	네 한번에 다 나옵니다.
3970	단건납부의 경우에는 납부고지서 상의 전자납부번호를 입력, 조회하신 후 납부하실 수 있습니다.
3972	그러면 우선 전체를 조회하시고, 조회된 내용 중 재산세만 선택하여 납부하시면 됩니다.
3975	죄송합니다만, 지방세는 지방자치단체의 요청에 따라 납부취소가 허용되지 않습니다.
3981	그러면 간단하게 납부하실 수 있습니다. 
3983	네, 공과금 아래 지방세 납부를 선택해 주신 후, 직접 지방자체단체와 주민번호를 입력하시고 조회하시면 가능합니다.
3987	위에서 말씀드린 대로 공과금 내 지방세 납부 메뉴에서 조회하시면 그동안 부과된 모든 지방세를 한눈에 조회하실 수 있습니다.
3989	맞습니다. 조회된 내용 중 선택하여 납부하시거나, 전체에 대해 납부하실 수 있습니다.
3991	네, 주중 주말 상관없이 매일 7:00부터 23:30까지 이용가능합니다.
3993	네, 간편납부번호로 '타인'에게 고지된 지방세를 조회 및 납부하실 수 있습니다. 간편납부번호는 위택스에서 신청이 가능합니다.
3995	네 그렇습니다.
3997	네, 카드통장도 일반 종이통장과 기능이 같습니다.
3999	네, 카드통장을 넣으시고 출금메뉴를 선택하시면 됩니다.
4002	은행에 오셔서 종이통장 분실신고를 하시고 카드 통장을 발급받으시면 됩니다.
