	고객질문(요청)
7671	아, 그럼 여기서 공동인증서 갱신을 해주실 수 있는가요?
7674	그러시다면 갱신 받으실 수 있도록 도와드릴까요?
7677	열었는데, 다음은 어떻게 하나요?
7687	법인 등록을 하려는데 잔고증명서가 필요하다던데요. 그게 뭔가요? 
7689	법인 설립할 때 필요한 서류는 어떤건가요? 
7691	잔고증명서는 어떻게 발급받나요? 
7693	은행에 갈 시간이 없는데 다른 방법은 없나요? 
7697	잔고증명서는 최대주주의 계좌로 해야하나요? 
7699	잔고증명서를 받기 위해서 자본금을 얼마동안 넣어둬야 하나요? 
7701	발급 이후에는 자본금을 바로 뺄 수 있나요? 
7703	법인 설립때 돈이 필요한데 인출하면 안되나요? 
7706	통장을 다 썼어요. 재발급을 받아야 하는데 은행을 방문해야만 할까요? 
7708	ATM기로 가능하다고요? 
7710	어떻게 이용할 수 있나요?
7712	그럼 바로 새 통장을 받을 수 있나요?　
7714	반환이면 전에 썼던 통장은 안돌려주나요? 
7716	그럼 통장 새로 발급후 통장 정리도 해주나요? 
7718	그럼 서명은 기계에서 하나요? 
7720	서명이 없어도 상관없나요? 
7722	기계 이용시간이 따로 있나요?
7724	퇴근후 이용해도 되겠네요? 
7726	통장 사본이 필요한데 지금 통장이 없어서요. 다른 방법이 없나요? 
7730	현재 통장을 가지고 있지 않아도 가능한가요? 
7732	홈페이지라면 인터넷으로 신청하는건가요? 
7734	공인인증서는 모바일에만 있는데.. 모바일에서는 안되나요? 
7736	OO은행의 어느 항목으로 들어가면 돠나요? 
7738	모바일이면 어떻게 프린트를 하나요?
7740	출력은 어떻게 하나요?
7742	우편전달은 무료인가요? 
7744	저장해서 프린트로 출력하면 되겠네요? 
7746	아파트 초입에 현금인출기가 있던데, 통장으로도 돈이 찾아질까요?
7747	입금은 안되고 인출만 되는 기계인가요?
7750	어차피 출금할 껀데 둘다 되는거 아닌가요?
7754	글쎄요, 그걸 확인 할 수 있나요?
7756	앞쪽 어디를 보면 되요?
7760	은행업무요? 출금만 되는거 말고 다른 것도 되요?
7766	MMF펀드에 거래하던게 있었는데, 잔고가 궁금해서요.
7776	MMF펀드가 주식형 펀드였던가요?
7778	주식형 펀드에 대해 궁금한데요.
7779	국내와 해외 중 어떤 주식형 펀드가 궁금하신가요?
7786	제 외화통장에 잔고가 남아있는지 확인이 될까요?
7796	인터넷뱅킹에서 달러도 구입할 수 있는 건가요?
7798	네, 그럼 제가 미리 연결 시켜놓은 원화 출금계좌에서 자동으로 빠져나가나요?
7802	혹시 수수료가 붙는가요?
7804	그럼 인출할 때는 수수료가 발생되나요?
7806	외화 계좌에 있는 자산들을 한번에 볼 수 있는 방법이 있나요?
7811	네, 해당 지점으로 내방하시면 외화통장 자산내역을 조회와 출력 자료를 받아보실 수 있는데, 내방이 가능한가요?
7814	그래요? 지역과는 상관 없이 뽑을 수 있는거였군요.
7816	그래도 코로나가 다시 기승하기 시작하면서 나갈려니 맘이 불편한데, 다른 방법은 없나요?
7818	아, 그래요? 공인인증서 등록해야되죠?
7820	혹시 스마트배킹 지문등록이 되어있는데, 거기서도 확인 될까요?
7822	출력도 되나요?
7826	외화통장 잔액증명서를 우편으로 받아볼 수 있나요?
7827	우편 발송은 서비스하지 않는데, 원본이 필요해서 물어보시나요?
7828	원본이요?
7830	사본이면 될것 같은데, 우편으로는 안되나보군요?
7832	사본 발급을 받아도 원본과 같은 효력이 생기나요?
7834	네~ 그렇군요. 혹시라도 원본이 필요하면 영업점을 방문해야 된다셨죠?
7838	그럼 지금 사본 제출하고 원본 가져가야 된다고 하면 잔액이 변동될수도 있겠네요?
7842	발급수수료는 무료인가요?
7846	금융거래 확인서를 제출하라는데, 어디서 발급 받을 수 있는거예요?
7848	그런데, 금융거래 확인서가 뭐예요?
7852	그렇군요, 인터넷 발급을 할려면 어디로 들어가면되죠?
7854	금융거래 기간도 설정할 수 있는건가요?
7856	인터넷으로 발급할 때 필요한거는 없죠?
7860	네, 발급수수료가 있는가요?
7866	해외여행 갔을 때 사용한 카드내역이 이상해서 뭣 좀 물어볼려구요.
7869	이상한 점이 어떤 건가요?
7876	제가 취소처리를 해야되는건가요?
7894	달러 투자면 달러로 보이나요?
7898	거래내역에는 어떤 내용들이 들어있나요?
7900	네, 그리고 역외펀드 환매 할때 발생되는 수익에 과세가 부과된다고 하던데, 그런가요?
7902	과세는 원화로 환전 후 발생되는 건가요?
7906	거래내역 조회에 관련하여 뭘 좀 물어봐도 될까요?
7908	전달 한달을 모든 계좌에 대해 거래 내용을 조회할 수 있을까요?
7910	일자별로 한눈에 볼 수 있는 방법도 있는가요?
7912	와, 그럼 네이버 캘린더에서 보듯 일자별 입출금 내역을 볼 수 있단 거예요?
7914	와, 그거좋네요. 인터넷뱅킹에서 해주는 서비스란거죠?
7916	거래내역을 매월 문자 또는 카톡으로도 알려주는 게 있는가요?
7918	그럼 알림서비스가 있긴 하나요?
7920	그건 모든 계좌가 알림이 오는가요?
7922	카드는 알림문자 수수료가 발생하던데, 이것도 그런가요?
7926	제 돈이 여기저기 분산 입금되어 있어서 총자산 확인이 안되네요. 방법이 없을까요?
7928	그 서비스를 받으면 제 자산현황이 다 나오는 건가요?
7932	이멜을 보내고 싶은데 파일로 저장도 되는건가요?
7934	휴면계좌 조회도 되는걸까요?
7936	ㅇㅇ은행꺼 말고 타행 자산현황은 볼 수 없는건가요?
7940	와~ 그렇군요. ㅇㅇ은행 어플에서 된다는거죠?
7946	거래내역 확인하는 것중에 은행 뿐만 아니라 카드사, 주식 모두의 잔고를 확인하는 것도 될까요?
7950	와, 설마 했는데 그런게 되는군요?
7954	네, 들어갔어요. 어디로 들어가죠?
7957	주식 체결내역 확인은 어디서 하나요?
7959	보험사 납입내역은 클릭했는데도 안뜨는데, 이건 다른가요?
7966	요즘 은행 잔고를 한번에 볼 수 있게 서비스 해주는게 있다고 들었는데 그거 어디서 확인할 수 있어요?
7968	네, 그렇게 된다고 하데요?
7974	계좌 등록을 하나씩 다 해야되는거예요?
7976	혹시 휴면계좌도 조회가 되나요?
7980	그런데, 비활동성이라고 뜨고 등록불가 되어있는거는 어떤 건가요?
7994	그럼 거래내역 조회도 되는건가요?
8002	혹시 공인인증서를 이용한 방법 말고 다른거는 안되나요?
8006	여러 개의 카드를 한번에 볼 수 있는 게 있다던데, 어떤 건가요?
8010	등록 방법은 어떻게 하면 되는데요?
8012	모든 카드사 등록이 되나요?
8014	카드 등록이 끝나고 부터는 거래내역을 바로 확인할 수 잇나요?
8016	혹시 매월 카드결제 내역은 가르쳐 주는가요?
8020	전달 소비를 비교해 주기도 해요?
8022	와, AI가 하는건가요?
8026	잔고증명서가 법인등록때 필요한서류인가요?
8028	법인 설립할 때 필요한 서류를 알려주세요?
8030	잔고증명서를 발급 받고 싶으면 어떻게 하나요?
8032	다른 방법은 없나요?
8037	잔고증명서는 누구의 계좌로 해야하나요? 
8039	잔고증명서를 받기 위해서 자본금을 얼마동안 넣어둬야 하나요? 
8041	발급 이후에는 자본금을 바로 뺄 수 있나요? 
8043	법인 설립때 돈이 필요한데 인출하면 안되나요? 
8046	카카오 뱅크는 거래내역은 어떻게 발급받나요? 
8048	모바일로도 가능한가요? 
8050	어디로 들어가야 하나요? 
8052	한국어 말고 영문으로도 가능한가요?
8054	모바일로 하면 프린트는 어떻게 하나요? 
8058	수수료는 있나요?
8060	발급할때마다 수수료가 부과되나요? 
8062	계좌에 잔액이 없는데 어떻게 하나요?
8066	핸드폰 요금을 자동이체 거래로 하려고 하는데 어떻게 하나요? 
8067	자동이체 할 통장은 누구 명의 인가요?
8069	아이의 연령이 어떻게 되시나요? 
8071	아이 통장개설은 어떤 서류가 필요한가요?
8074	아직 생일이 지나기 전이라 만 14세 미만인데 똑같이 준비하면 되나요? 
8076	체크카드도 같이 만들 수 있나요? 
8078	아이 도장이 따로 없는데 사인하면 안되나요? 
8080	다른 보호자가 가도 되나요?
8082	가족관계증명서는 누구 기준이 따로 없나요? 
8084	서류 확인하고 할머니랑가도 되나요?
8086	잔고 확인을 하려고 하니 통장여유장이 없어요 어쩌나요?
8091	통장 재발행이 가능할까요?
8093	영업점을 방문해서 통장재발급 신청하셨나요?
8095	기존에 있는 통장도 가져가야 하나요?
8098	재발급시 수수료 있나요? 
8100	도장이 지금 없는데 꼭 필요한가요?
8102	통장을 만들었던 지점에 방문해야 하나요?
8104	00동에 00은행 지점이 있나요? 
8106	다 쓴 통장 재발행은 은행 방문해야 하나요?
8110	어떻게 이용할 수 있나요?
8112	새통장을 바로 받을 수 있나요?
8114	반환이면 기존통장은 폐기를 하나요?
8116	재발행 통장 정리도 해주나요? 
8118	통장 발행할때 서명도 하는데 그건 어디다 하나요? 
8120	은행에 방문을 한번은 해야한다는 거군요?
8122	ATM기계 이용시간이 따로 있나요?
8124	퇴근후 이용해도 되겠네요? 
8126	통장은 분실했는데 통장사본이 필요해요 어쩌죠?
8127	통장사본 복사가 필요하신거가요?
8130	현재 통장을 가지고 있지 않아도 가능한가요? 
8132	홈페이지라면 인터넷으로 신청하는건가요? 
8134	공인인증서는 휴대폰에 있는 것도 되나요?
8136	OO은행 앱에 접속을 해야하나요?
8138	핸드폰인데 어떻게 프린트를 할 수 있나요?
8140	출력은 어떻게 하나요?
8142	우편전달은 무료인가요? 
8144	저장해서 프린트로 출력하면 되겠네요? 
8146	휴면계좌가 있다는 데 그게 뭔가요?
8148	그럼 사용하지 않는 계좌를 말하는 건가요?
8150	입출금거래가 없으면 계좌가 소멸되나요?
8152	그럼 입출금 거래가 없으면 통장에 잔고가 없어지나요?
8156	1만원 이상이 잔액이 있으면 어찌되나요?
8158	그럼 은행에서 알려줘야하는거 아닌가요?
8161	휴면계좌는 은행에 가면 바로 지급해주나요?
8166	통장거래내역서를  발급은 어떻게 하나요?
8168	은행에서 발급해주는 건가요?
8170	통장 정리한것을 복사해서 보내주면 안되나요?
8174	이런걸 발급받아서 무엇을 확인하겠다는 걸까요?
8176	제 소득을 확인해야 하는 게 무엇때문일까요?
8179	통장거래내역서가 다른 용도로도 사용을 하나요?
8186	압축기장이 뭔가요?
8188	통장거래가 많으면 압축기장을 하나요?
8190	그럼 통장정리해야할 내용이 많으면 무조건 압축기장을 하는건가요?
8192	그럼 왜 하는건가요?
8196	혹시 압축한 내용중에 거래내역이 나중에 필요하면 어쩌죠?
8198	은행에 방문해야지만 거래내역이 확인되나요?
8200	인터넷뱅킹으로 거래내역 출력할수도 있나요?
8202	몇년이 지난 거래내역도 확인할수 있나요?
8204	혹시 입금만, 출금만 이렇게도 확인이 되나요?
8208	통장정리를 오랜시간 하지 않으셨나요?
8211	체크카드 사용내역이 다 찍히는건가요?
8214	그러면 출금하고 인출하고 한 거래내역이 많겠네요?
8216	압축기장은 왜 하는건가요?
8218	원하는 기간만 압축기장을 할수도 있나요?
8220	압축기장을 하면 통장에 어떻게 표시되는가요?
8224	압축한 내용중에 거래내역이 나중에 필요하면 어쩌죠?
8226	미성년이 은행에서 통장 압축이 가능한가요?
8230	제가 매달 그 통장에 용돈을 보내줬는데 그래도 조회를 못하나요?
8232	제가 확인하려면 자녀를 통해야만 되나요?
8236	뱅킹으로 압축기장계좌로 등록했는데 한번통장정리하면 압축기장 처리가 해지되나요?
8238	어떻게 해야 압축기장 처리가 해지되나요?
8240	뱅킹에서 해제하는것 말고 은행가서도 해제가 되나요?
8242	해제하고나면 거래내역이 다 나오는건가요?
8244	뱅킹통장으로 확인이 되나요?
8246	통장교체이후 보험료 자동이체가 안되서 실효가 되었어요 어쩌죠?
8248	어떻게 보험을 부활시키나요?
8254	그럼 3개월간 보험료는 한꺼번에 내야하나요?
8256	3개월 보험료를 분납해서는 납부할 수 없나요?
8258	카드납입이 안되는곳은요?
8260	실효가 되면 얼마만에 부활을 해야하나요?
8262	3년이 지나고 나면 부활이 안되나요?
8266	통장분실했어요 재발행하면 수수료가 드나요?
8268	재발급은 은행에서 바로 해주나요?
8272	주말이라 통장 분실신고는 어디 해야하나요?
8274	ATM기에 분실신고도 되는거예요?
8277	그럼 카드의 경우도 ATM기에서 분실신고하면 되나요?
8280	그런데 적금 만기되서 통장을 찾는건데 꼭 통장이 있어야 적금을 찾을수 있을까요?
8286	은행시간이 마감되어도 신용카드 결재할 수 있나요?
8287	신용카드는 언제나 납부가능한가요?
8291	어떻게 처리해야 하나요?
8295	현금인출기나 ATM 똑같은거 아닌가요?
8298	현금인출기는 무엇인가요?
8300	ATM기은 무엇인가요?
8302	신용카드 결재방식은요?
8304	다른방법도 있을까요?
8306	보이스피싱으로 인출된 돈 돌려받을 수 있나요?
8330	은행은 알고 계신가요?
8333	모두 함께 가야하는가요?
8336	필요한 서류가 있나요?
8339	아버지 신분증도 가져가야 하나요?
8341	체크카드가 있는데 어머니 생활을 위해 처리하기전에 인출해서 써도 되나요?
8343	가족 모두가 동의하에 인출한다면요?
8346	해지환급금을 MMF계좌에에 넣으면 잔고가 늘까요?
8347	해지환급금을 MMF계좌로 받으면 어떤점이 좋나요?
8350	MMF계좌는 제가 따로 개설을 해야 하는가요?
8352	모바일로는 안되는가요?
8356	출금은 어떻게 하나요?체크카드 주나요?
8358	출금가능한 시간은 정해져 있나요?
8360	투자가 되는거면 손해볼수도 있나요?
8362	예금자보호는 되나요?
8366	주택청약통장은 잔고를 어떻게 확인하나요?
8367	청약통장은 잔고를 확인을 매달 해야하나요?
8369	통장을 가지고 계신가요?
8371	주택청약통장 가입시기를 알수 있을까요?
8374	은행이 근처에 없나요?
8378	본인이 가야하나요?
8380	본인이 못가게 된다면요?
8382	제신분증 말하는건가요?
8384	확인가능한 도장도 들고 가야하나요?
8386	계중 통장 개설 할 수 있을까요?
8387	계중을 만들어서 통장개설을 가능한가요?
8389	모임 이름으로 개설가능한가요?
8392	통장에 쓸 도장이 반드시 있어야 하나요?
8394	계중인원 전부가 은행에가야 하나요?
8396	통장개설은 은행가야만 가능한가요?
8400	잔액을 확인 할 수 있게 되어 있나요?
8403	개설자가 도망가게 되면요?
8406	납입한 보험료 확인할수 있나요?
8407	자동이체 된 보험료 확인 할 수 있나요?
8410	보험회사에 전화를 해봐야 하나요?
8412	또다른 방법이 있을까요?
8414	공인인증서가 필요한가요?
8416	고객센터로 직접 가도 되나요?
8421	해지환급금은 매일 금액이 달라지나요?
8423	가입되어 있는 보험은 변액유니버셜인데요?
8426	CMA계좌는 이자가 좋다는데 뭔가요?
8427	CMA상품은 무엇인가요?
8429	증권회사에 있는 상품인가요?
8431	자산을 관리해주는건가요?
8433	기능에 대해 알려줄수 있나요?
8435	이자를 더 많이 준다는 건가요?
8438	이자는 은행처럼 6개월이나 1년 단위로 받나요?
8441	목돈을 넣어두고 바로 빼도 이자가 붙나요?
8444	예금자보호도 되나요?
8446	MMF가 잔고 늘리기에 최적이라는데 맞나요?
8447	MMF 개설하려고 하는데 어떤건가요?
8450	손해를 볼수도 있나요?
8452	시중금리 변동에 영향을 많이 받나요?
8455	주로 어디에 투자를 하나요?
8459	수익이 매일매일 발생하나요?
8461	당일사고 파는 활동이 가능한가요?
8463	CMA처럼 자동이체 가능한가요?
8466	분실한 신용카드 재발행 어디다 신고해야하나요?
8469	카드를 많이소지하시고 있나요?
8472	카드사 카드면 분실신고를 ATM기에 할 수 있나요?
8476	카드 재발급 신청을 했는데 카드를 찾게되면 어찌하나요?
8479	재발급 받으면 카드 번호도 바뀌나요?
8481	신용등급이 낮으면 재발행이안되나요?
8484	카드사에 전화해서 분실신고 하는것 말고 다른 방법은 없나요?
8486	통장비밀번호는 어떻게 변경할 수 있나요?
8488	은행에 가면 기존비밀번호를 알려주나요?
8492	은행외에 비밀번호 변경할 수는 없나요?
8496	그럼 본인 확인은 어떻게 하는건가요? 확인을 하고 변경해줘야하는거 아닌가요?
8498	핸드폰 인증도 하는건가요?
8500	핸드폰 명의가 본인이 아니면 어려운가요?
8502	그럼 신분증이 없으면 어떻게 하나요?
8506	재발행한 통장 말고 먼저 가지고 있던 통장으로 거래내역 찍을 수 있나요?
8507	통장을 분실하셔서 재발급 받으신건가요?
8509	통장이 두개가되었군요?
8513	그럼 이전 통장은 사용을 못하는건가요?
8516	그럼 이전 통장은 다 버려도 되나요?
8520	은행에 방문해야지만 거래내역이 확인되나요?
8522	인터넷뱅킹으로 거래내역 출력할수도 있나요?
8524	몇년이 지난 거래내역도 확인할수 있나요?
8526	통장거래내역서는 입출금 내용이 다 나오나요? 
8528	전체 내용을 다 제출하면 안되는데 임시로 제가 삭제해도 되나요? 
8530	거래내역서 양식을 구해서 제가 작성하면 안되나요? 
8532	무조건 전체 내용이 다 나오나요? 
8538	하나의 거래만 삭제가 안되나요?
8540	아예 못보게는 안되는 건가요?
8542	그럼 거래내역서에만 안보이게 하나요? 
8544	필요한 거래만 보이도록 되나요? 
8546	은행 거래내역 조회를 어떻게 하나요? 
8548	통장으로 정리하면 전체 내용이 다 정리되는건가요? 
8550	1년치인데 은행으로 가야만 하나요? 
8554	인터넷뱅킹은 뭔가요?
8556	공인인증서가 뭔가요? 
8558	그럼 인터넷으로 받으면 되는건가요? 
8560	일단 은행을 방문해야 하는거네요? 
8562	그럼 은행에서 거래내역 발급하면 무료인가요? 
8564	거래내역을 발급하든 공인인증서를 받든 일단 은행을 방문해야 하는 거네요?
8566	은행 거래내역 출력을 어떻게 하나요? 
8570	전체 내용이 다 나오나요?
8572	한명에게 송금한 내용만 따로 볼 수 있나요? 
8574	10년정도의 내용이 다 나오나요? 
8576	어떻게 보나요? 
8578	그럼 내 거래내역 중에 그 사람에게 이체한 내용이 다 뜨나요? 
8582	날짜를 다 모르면 어떻게 하나요? 
8584	그럼 두번 발급받아야 하네요?
8586	잔고증명서가 뭔가요? 
8588	해외유학을 준비중인데 잔고증명서가 왜 필요하죠? 
8590	그럼 비자를 신청할때 내야하나요?
8592	잔고증명서는 어떻게 발급받나요? 
8594	서류 준비할때 잔고가 몇개월치를 보는건가요?
8596	그럼 다른 은행의 돈을 한군데에 넣어서 서류를 떼면 되나요? 
8598	잔고증명서 떼고 바로 다른 은행으로 다시 이체해도 되나요? 
8600	이체가 안된다구요? 
8602	다른 방법은 없나요? 
8606	미성년자 주식계좌를 만들수 있나요? 
8608	어떻게 만드나요? 
8612	은행계좌랑 증권계좌는 따로인가요? 
8614	주식계좌를 만드려면 뭐가 필요한가요?
8616	서류는 아이기준인가요?
8618	예전에 떼어놓은 서류가 있는데 사용해도 되나요? 
8620	그게 무슨뜻인가요? 
8622	3개월 전인데 부모의 주민번호 뒷자리가 안나와있어요.
8624	아이 통장에서 주식계좌로 이체해도 되나요? 
8626	주식 잔고증명서가 발급 가능한가요? 
8628	ㅇㅇ증권에 내가 보유중인 주식으로 나오나요? 
8630	샀던 금액으로 나오나요?
8632	그럼 총 금액만 찍혀나오나요? 
8634	잔고증명서를 발급받고 주식거래 바로 되나요?
8636	영문으로도 받을 수 있나요? 
8638	영문으로 받으면 금액은 그대로 원단위인가요? 
8640	달러로 변환해서 서류가 나오나요? 
8642	어디서 발급받나요? 
8644	ㅇㅇ동에 ㅇㅇ증권 영업소가 있나요?
8646	은행의 CD기와 ATM기는 뭐가 다른거에요? 
8648	현금을 인출하는데 둘다 되나요?
8650	CD기는 뭘 할 수 있나요? 
8652	그럼 ATM기는 뭔가요? 
8654	그럼 수표는 입금되나요?
8656	CD기는 안되나요? 
8658	현금인출기는 은행에만 있나요? 
8660	은행 업무시간에만 사용할 수 있나요?
8662	다른 은행으로 이체도 되나요? 
8664	기기를 이용하는데 이용료가 있나요?
8666	전기세를 내야하는데 은행에 가야하나요? 
8674	시간에 상관없이 낼 수 있나요? 
8676	아무 ATM기로 되나요?
8678	어떤 항목을 눌러야 하나요?
8680	전자납부번호가 뭔가요? 
8682	oo동에 ATM기가 있나요?
8686	급하게 현금을 뽑아야 하는데 oo은행이 안보여요. 어떻게 하나요? 
8692	지금 있는 곳과 너무 먼데 다른 방법이 없나요?
8694	아예 다른 은행인데 현금 인출이 된다고요? 
8696	이용료는 얼마인가요?
8698	너무 비싼데요?
8704	업무외 시간에는 수수료가 있나요? 
8706	남편의 은행 잔고를 알고 싶은데 어떻게 하나요?
8708	남편의 통장이 있으면요?
8710	그렇게 알아보게 된다면 어떻게 되나요?
8712	그럼 통장없이 주민번호랑 계좌번호만 있으면 알아볼 수 있나요? 
8714	위임장이 있으면 몰래 알아보지 못하지 않나요? 
8716	합법적으로 알아보려면 어떻게 해야 하나요?
8718	만약 이혼 소송을 하게되면 알아볼 수 있나요?
8720	그럼 남편명의의 다른 계좌가 있는걸 알 수도 없네요?
8722	공인인증서를 가지고 있으면 되나요?
8724	아 비밀번호를 알아야 하네요?  
8726	제가 프리랜서인데 신용카드 만들때 은행잔고로 개설이 된다고 하는데 맞나요? 
8728	신용카드 만드는 조건이 뭔가요? 
8730	평균잔고가 50만원이라는건 통장 개설후부터 인가요?
8732	신용등급은 상관없나요? 
8734	1금융권 은행은 뭔가요?
8736	그럼 00은행은 1금융권인가요?
8738	제가 거래하는 은행의 카드만 되나요? 
8740	한달 사용금액은 한도가 있나요?
8742	얼마인가요? 
8744	그럼 카드사에 물어봐야 하네요? 
8746	집에서 통장잔고를 어떻게 확인할 수 있어요? 
8750	그게 뭔가요? 
8756	공인인증서는 다른 은행껀데요?
8762	타행 공인인증서 내보내기 해서 어떻게 하나요? 
8764	그럼 다른 은행도 확인 되나요? 
8766	제가 미성년자인데 부모님이 잔고 확인을 할 수 있나요?
8768	제가 동의하지 않아도 되나요?
8770	통장은 제가 가지고 있는데요?
8778	부모님이 잔고를 알게된다는 건가요?
8780	모르시게 하고 싶은데요? 
8782	제가 미성년자라서 그런건가요?
8784	성인이 되면 부모님도 못보나요?
8786	온라인 결제를 하는데 한도초과가 뜨는데 왜 그런가요? 
8796	잔고가 부족해도 한도초과로 나오나요?
8798	oo페이 확인하니 미성년자 결제한도 초과라고 뜨는데요? 
8800	결제한도는 한달 단위인 건가요?
8802	그럼 통장 잔고가 있을때 내일 결제하면 되나요? 
8806	월세납입증명서를 떼야하는데 어떻게 하나요?
8810	OO은행로 보냈는데 어떻게 하나요?
8812	PC요?
8816	그럼 출력되는 건가요?
8818	집에 프린트가 없는데 다른 방법은 없나요?
8824	PC출력만 직인이 있나요? 
8826	연말정산 서류때문에 거래내역서가 필요한데 어디서 하나요?
8834	발급방법은 뭐가 있나요?
8838	계좌에서 바로 출금 되나요?
8840	수수료가 얼마인가요?
8842	1년간 사용내용을 다 받을 수 있나요? 
8844	집의 프린트가 모바일 연결이 되는데 바로 출력하면 되나요? 
8846	OO은행 사용중인데 거래내역서  받는 방법이 있나요? 
8852	여러개의 계좌를 사용중인데요? 
8866	해외송금을 받아야 하는데 OO은행로 받을 수 있나요?
8868	제 계좌번호를 주면 거기서 보내주나요?
8870	수취인이라면 보내는 사람인가요? 
8874	보내주면 바로 받을 수 있나요? 
8876	그럼 보낸날짜에서 3일뒤에 계좌 조회하면 잔고 확인이 되나요?
8878	송금정보가 뭔가요? 
8880	MTCN은 뭔가요?
8882	MTCN을 모르면 못받나요? 
8884	송금 받을떄는 수수료가 얼마인가요? 
8886	가족끼리 통장의 잔고나 거래내역을 알 수 있나요? 
8892	제가 아내의 공인인증서를 가지고 있어도 알 수 없나요?
8896	아내의 동의 없이 봐도 되나요? 
8898	그럼 봐도 되겠네요? 
8900	아내가 통장의 비밀번호를 바꾸고 왔다고 하는데 공인인증서에도 영향이 가나요? 
8902	그럼 인터넷뱅킹으로 공인인증서 로그인하면 볼 수 있네요? 
8906	아버지가 돌아가셨는데 통장의 잔액을 확인할 수 있나요? 
8914	가족중 누구라도 조회할 수 있나요? 
8916	조회하면 아버지가 거래하시던 은행을 다 알 수 있나요? 
8918	통장에 잔고가 있다면 출금할 수 있나요? 
8920	어떨게 증명하나요? 
8922	서류를 들고 방문하면 되나요?
8924	법적 상속인이면 어머니와 자식들인가요? 
8928	전체 내용은 필요없는데 뽑아서 제가 지워도 되나요? 
8930	왜요?
8938	한부분만 나오나요?
8940	같은 날짜의 한부분만 제외는 안되나요?
8942	그럼 거래내역서에만 안보이게 되나요?
8946	은행 거래내역 조회를 어떻게 하나요? 
8948	통장으로 정리하면 전체 내용이 다 정리되는건가요? 
8950	1년치인데 은행으로 가야만 하나요? 
8954	인터넷뱅킹은 뭔가요?
8956	공인인증서가 뭔가요? 
8958	어떻게 만드나요? 
8960	처음이라면 은행을 방문해야 하는거네요? 
8962	인터넷뱅킹으로 거래내역을 뽑으면 수수료가 있나요?
8966	은행의 거래내역 출력을 어떻게 하나요? 
8968	은행 창구를 방문해야만 하나요?
8970	모든 내용이 다 나오나요? 
8972	한사람에게만 보낸 내용이 필요한데 되나요?
8974	10년전것도 되나요?
8978	그럼 한 계좌를 지정하면 거기에 입금한 내용이 다 나오나요? 
8980	정해진 날짜에 입금 안했는데 안되나요? 
8984	제가 해야하나요?
8986	잔고증명서를 내라는데 그게 뭔가요?
8988	유학때문에 비자신청중인데 왜 내라고 하나요?
8990	잔고증명서는 어디서 발급받나요? 
8992	내 통장에 얼마나 있어야 하나요?
8996	그럼 어햑당에 문의하면 되나요? 
8998	오늘 잔고증명서를 발급하고 이체해도되나요?
9000	다른 방법은 없나요? 
9002	금액을 합쳐서 잔고확인을 해도 되는건가요? 
9006	신용카드 할부를 했는데 얼마나 남았는지 알 수 있나요?
9008	어떻게 하나요?
9010	고객센터는 몇번인가요?
9012	상담 단축 번호는 뭔가요?
9014	본인이 아니면 확인 어렵나요?
9016	그럼 어플로도 안되나요?
9022	다른 방법은 없나요? 
9026	주식 잔고증명서가 뭔가요? 
9028	OO증권에서 발급할 수 있나요?
9030	내가 샀던 내용이 다 나오나요? 
9032	보유중인 주식이 다 나오나요?
9034	주식의 잔고증명서를 발급받고 매수할 수 있나요? 
9038	영문으로 받으면 금액은 달러단위로 바뀌나요? 
9040	유로로 변환해도 되나요? 
9042	어디서 발급받나요? 
9046	통장의 잔고를 확인하고 싶은데요?
9048	은행 업무시간 외에는 알아볼 수 없나요? 
9050	은행 ATM기를 은행 문이 닫는데 이용할 수 있나요？
9058	그럼 통장 잔고를 볼 수 있나요？
9060	그럼 통장에 내용이 찍히나요? 
9062	내용을 따로 적어야 할까요? 
9066	계좌거래내역을 보려면 어떻게 해야하나요? 
9068	직장인이라 은행에 방문은 어려운데요?
9078	따로 출력은 안되나요?
9080	다른 방법은 없나요?
9082	혹시 OO동에 OO은행 ATM기가 어디에 있나요?
9086	OO은행의 ATM기가 안보이는데 어디있나요? 
9094	다른 은행인데 현금 인출을 할 수 있나요?
9096	현금카드로 가능해요?
9098	인식을 못하는거 아닌가요?
9100	수수료는 드나요?
9102	같은 은행보다 비싸네요? 
9106	부부인데 상대방의 거래내역을 조회할 수 있나요? 
9108	왜요?
9112	볼 수 있는 방법이 없나요? 
9114	집 컴퓨터에 남편의 공인인증서가 있는데 안되나요?
9116	비밀번호 대충 쳐서 넣어보면 안되요?
9118	다른 방법이 없나요? 
9126	알바생인데 신용카드 발급을 받고싶은데 가능할까요?
9128	조건이 어떻게 되나요?
9130	평균이라면 통장 개설후부터 전부인가요?
9132	신용등급은 상관없나요? 
9134	1금융권 은행은 뭔가요?
9136	그럼 00은행은 1금융권인가요?
9138	주로 거래하는 은행의 카드만 되나요? 
9140	한달 사용금액은 얼마인가요?
9142	카드마다 다르다고요?
9144	카드사 고객센터로 물어봐야 하나요? 
9146	은행에 가지않고 잔고를 확인할 수 있나요?  
9148	어떻게 확인하나요?
9150	고객센터 전화번호가 뭔가요?
9152	고객센터 전화했더니 대기가 너무긴데요?
9154	인터넷뱅킹이 뭔가요?
9158	OO은행 모바일로 받으면 되나요? 
9162	비밀번호가 기억안나면 어떻게 하나요?
9166	아이의 통장 거래내역을 확인하고 싶은데요? 
