	고객답변
5925	아 그렇군요
5927	아니요 괜찮아요
5939	네 불편하네요
5945	영업점 가야 겠군요.
5947	아니요
5961	귀찮아도 가야겠군요
5965	네, 그렇군요.
5967	아니요
5973	보안카드요
5981	이렇게 간단한데.. 참 .. 변경해주세요
5985	와우 당장 만들어야 겠네요
5987	아니요. 없습니다.
5992	좀 줄이려고요
6000	잠시만요 네 했어요
6002	선택햇어요
6004	아 되네요.
6006	아니요 고맙워요
6012	맞는거 같네요 자동이체
6016	대신 해주면 더 좋고요 하하
6020	했어요
6022	잠깐만요. 아 네
6024	네 했어요.
6026	아니요. 편하네요 하하
6028	수고하세요
6034	알겠어요
6040	그렇군요.
6046	무매체 출금서비스 신청하러 가야겠네요
6054	출자금 통장이 그런거였군요
6060	어쩔 수 없네요
6064	안되는게 많군요
6066	아니요
6078	간단하게 상환되니 좋네요
6084	복잡하네요. 알겠어요
6086	아니요 괜찮아요
6092	네 해주세요
6104	그렇군요
6106	아니요.없습니다.
6113	아 그렇군요
6131	3년 이요
6133	네 천만원 정도 있어요
6135	많으면 좋아요
6144	자세히 설명해주세요
6146	아 꼭 기억해야 겠네요
6148	아니요 고맙습니다.
6158	간단하네요. 
6164	제가 계산 할 수는 없겠군요.
6166	아니요
6180	안내 해주세요
6182	그렇군요
6208	없어요 감사합니다
6224	자금반환 요청할래요
6226	번호 알려주세요
6233	없으면 안되요?
6254	OO은행요
6258	네 했어요
6260	네 찾았어요
6285	아니요
6298	조금만 생각해 보고요
6304	정확히 기억이 안 나는데요
6306	벌써 그 정도가 .. 그런것 같기도 하네요
6325	ATM이요
6331	알려주세요
6353	네 없어요 감사합니다
6355	제가 여러군데 한번에 결제를 해야 하는데요.
6362	네 로그인 했어요.
6377	아니요, 모르겠어요.
6384	아 그렇군요. 
6397	아파트 관리비 자동이체건요.
6400	네 알려주세요.
6404	네, 지금 접속할께요.
6406	네, 찾았어요.
6417	아니요. 날짜를 변경하고 싶은데요.
6421	네, 깔려있어요.
6423	로그인이 안되네요. 
6436	이체수수료, 자동화기기수수료, 환전수수료 등이요.
6439	네 안내해주세요.
6447	아 그거 참 좋네요.
6455	계좌 번호를 기록해 두기가 많이 불편해서요.
6470	아 그렇군요. 편리해서 좋네요.
6475	매번 입력하려니 귀찮아서요.
6483	아 그렇군요
6488	아 그렇군요.
6494	오랜만에 이체해서 그런지 이체가 안되네요.
6499	이상하네요. 12개월 이상 사용 안하지 않았어요.
6507	제가 여러계좌를 사용해서요.
6517	너무 오래되서 기억이 안나는데요.
6522	그렇군요.
6532	너무 적은대요.
6538	아 거의 다 되네요.
6543	불편하네요.
6590	그럼 영업점에 방문해야 겠네요.
6596	제가 실수로 50만원 더 이체했어요. 
6616	기억이 안납니다. 오래된 것 같아요.
6618	아 그렇군요.
6621	네, 그런데 인증이 안되는 것 같아 문의드렸어요.
6624	아 그렇군요.
6643	네 했어요.
6668	아 그렇군요.
6683	문자보내기가 안보여요. 
6685	네, 지금 접속했어요.
6687	네, 했어요.
6707	네, 우선 1회 이체한도만 증액하고 싶은데요.
6710	알겠어요.
6716	네, 토스앱을 깔아서 사용하고 있어요.
6718	아 그렇군요.
6747	OO은행인데요.
6755	네, 인터넷 뱅킹 사용하고 있어요.
6763	네 그렇게 할께요.
6764	그럼 등록해 두지 않은 번호는 인터넷뱅킹에 매번 접속해야 할 수 있는 거네요.
6766	아, 그렇군요.
6779	삼성 갤럭시 폰이에요.
6783	공인인증서가 불편해서요.
6788	오픈뱅킹 앱을 깔고 싶어요. 
6791	네 그럼 은행 어플을 설치하는 것이 낫겠어요.
6794	제가 이체를 자주 하는 편이라서요.
6799	모르겠어요.
6803	일반 고객등급이네요. 
6806	아 그렇군요.
6818	네 그런데요.
6820	실은 제가 인터넷뱅킹을 거의 안써요.
6828	그렇군요.
6837	인터넷 뱅킹을 잘 못해서요.
6844	아, 하고 있는데 못 찾겠어요.
6847	좀 더 자세히 말씀해 주세요.
6849	아 그게 쉽겠네요.
6855	모르겠어요. 사용한지 좀 오래되서.
6859	아 잠시만요.
6861	네, 4년 다 되어 가네요.
6865	지금 급하게 돈을 송금해야 하는데요. 영업점에 갈 시간이 없어요.
6867	아니요. OTP만 사용하고 있습니다.
6895	미국에 있는 동생에게 보내려구요.
6900	외화통장으로 이체하려구요.
6905	만불을 보내야 하는데요.
6908	아 그렇군요.
6917	아 그렇군요.
6922	네, 1주일 전에요.
6924	기억이 안나네요.
6926	아 그런것 같은데 잊어버린 것 같아요.
6928	그러면 다시 또 가야 하는거네요.
6938	제가 모르는 사람에게 이체한 것 같아요.
6947	알겠어요.
6955	모르겠는데요.
6957	아 거기서 등록을 해야 하는군요. 
6959	그러면 출금계좌 등록도 스마트폰 앱에서도 되나요?
6961	한도제한계좌는 무엇인가요?
6965	한도가 엄청 작네요.
6970	너무 까다롭네요.
6975	네, 기본 비밀번호를 바꾸고 싶어요.
6979	현재 비밀번호 오류가 났어요.
6999	와 진짜 좋네요.
7006	완전 편리하네요.
7015	네, 있어요.
7020	네 접속중이에요. 찾았어요.
7031	나중에 생기면 다시 문의할께요.
7034	과태료 고지서를 잃어버려서요.
7036	아 그거 다행이네요.
7048	네. 어쩔 수 없네요.
7065	네, 재산세 하나만 우선 납부하려구요.
7067	지로번호를 모르는데요.
7074	네, 집에서요.
7080	자동차세 전체를 납부하려구요.
7084	그럼 조회후 납부하면 되는군요.
7097	종이통장이 있는데 분실했어요.
7101	알겠어요.
7111	아 그렇군요. 감사합니다.
7133	아직 안했어요.
7138	아, 불편하네요.
7140	아 그렇게 하면 되겠군요.
7142	네 한가지 더 있는데요.
7155	아니요.
7163	네 설치되어 있어요.
7173	이름은 000, 000000인데요.
7189	전혀 몰랐네요.
7193	아닙니다. 이번달만 미리 내고 싶어서요.
7197	아니요.
7208	아 그렇게 하면 되는군요.
7224	아 그렇군요.
7234	어머니가 편찮으셔서 병원에 수술하고 입원중이시라서요.
7237	네, 제가 대리 인출해서 어머니께 전달해 드리기로 했거든요.
7239	어머니께서 인터넷 뱅킹이 없으세요.
7246	알겠습니다. 어쩔 수 없네요.
7249	알겠어요.
7250	현금카드를 잃어버렸어요.
7259	그러면 되겠네요.
7262	네, 그럼 여기서 카드 분실신고 후 창구에 통장을 가져가서 출금하면 되겠네요.
7264	확실하지 않아요.
7266	아 그렇게 하면 되는군요.
7275	저도 로얄등급회원인데요.
7281	아 그렇군요.
7283	제 폰이 남편 명의라서요.
7305	네 알겠어요.
7311	네, 인터넷 뱅킹에서요.
7319	그렇게 되는 거군요.
7332	스마트폰 앱은 이미 설치했는데요.
7343	아 그런거군요.
7346	아 그렇군요.
7348	아니에요. 스마트폰 앱알림 쓰죠.
7352	등록금 메뉴를 찾아도 안 보여서요.
7357	등록금 고지서를 잃어버렸어요.
7362	네, 한가지 더 있어요.
7366	네, 카드를 가지고 있어요.
7376	토스의 경우 월 5회만 무료이던데요.
7378	와 정말 좋네요.
7381	그럼 돈이 새지 않아서 좋네요.
7394	2개월 뒤에요.
7409	그렇군요. 
7414	네 선택했어요.
7422	파일 다운 받아 보아도 어려울 것 같네요.
7429	지금은 괜찮습니다. 추가 문의사항 생기면 다시 연락드릴께요.
7435	가령 추가서류가 필요한 경우라던가요.
7441	네, 신청인만 확인하면 되나요?
7445	저와 남편 공동명의인대요.
7447	이것도 인터넷으로 되는 건가요?
7452	대출금 일부를 상환하고 싶은데요.
7464	아 그렇게 되는군요. 그럼 우선 대출금 상환예상조회를 해 봐야 겠어요.
7474	저도 가능하다는 말씀이군요.
7476	이미 만기가 경과한 경우에는 어떻게 하나요?
7480	지금 접속해서 확인 좀 하고 싶은데요.
7484	상환하지 않고 기한만 연장하고 싶은데요.
7488	그럼 연장이 안되는 거네요.
7492	신청일 현재 개인대출을 보유중인 고객 중 신용등급이 상승한 고객은 금리인하를 요구하실 수 있습니다.
7508	그럼 우선 비대면 신청부터 할께요.
7512	거기에는 얼마부터 얼마까지 이런식이던데요.
7516	네 알겠어요.
7527	3년 이후 중도 상환하면 수수료가 없다는 거네요.
7531	이자를 2개월치 연체했어요.
7535	어렵네요. 제가 이해한 것이 맞는지 보세요.
7540	2개월 연체 시점부터는 이자가 엄청나게 올라가네요.
7547	네, 빨리 해결할게요.
7560	마이너스 통장 대출이 좋겠네요.
7576	네 그럼 대출이 가능할 것 같네요.
7589	네, 더 살펴보고 신청할께요.
7590	무주택자인데 집을 사려고 해요.
7594	네 맞아요.
7596	아닌데요.
7600	네, 그럼 가능할 것 같아요.
7612	상환방법에 따라 다른 것 같아서 복잡하네요.
7617	매월 같은 돈이 빠져나가게 하고 싶어요.
7633	생활비 대출신청했어요.
7653	직장인이에요.
7662	네 신혼부부에요.
7681	아 그렇군요
7688	아 다행이네요.
7696	대충 2~3% 사이네요. 
7703	아 그렇군요.
7706	그럼 우선 집주인과 먼저 이야기 해 본 후 문의드려야 겠네요.
7709	아니요, 감사합니다.
7712	아파트 담보대출요.
7714	아니요, 소유하고 있는 아파트를 담보로 대출하려구요.
7720	네? 아파트 시세가 5억인데요.
7724	네, 어쩔 수 없네요.
7732	아니요.
7737	아 저는 프리랜서라서 신분증과 소득금액증명원만 있어요.
7740	아니요, 없어요.
7754	그렇군요.
7759	아 그렇게 간단해요? 좋네요.
7761	네, 도와주세요.
7763	네, 잠시만요.
7765	네, 접속했어요.
7767	네, 했어요.
7781	1억 2천만요.
7785	아 그렇군요.
7792	저는 중소기업에 다니고 있어요.
7794	이제 한달 되었어요.
7798	네, 그럼 3개월 지나 방문해야 겠네요.
7803	네 알겠어요.
7832	아 그렇군요.
7839	네, 지금 하고 싶은데요.
7841	네, 스마트폰뱅킹에 접속했어요.
7843	네, 이동했어요.
7854	아 그렇군요. 
7865	네, 했어요.
7867	아 다행이네요.
7882	생각 좀 해 보고 신청하게요.
7887	나중에 하려니 문자가 편할 것 같네요.
7890	아파트 담보대출 받으려는데요
7892	직전년도 소득금액 증빙 제출이 어려워서요.
7904	아파트 감정시세가 약 4억원이던데요.
7923	3000만원 정도 대출받고 싶은데요.
7929	오프뱅킹앱을 깔았는데요.
7934	아 그거 편리하네요.
7941	네 했어요.
7959	그런데 검토를 받고 대출 실행을 안할 수도 있는데요.
7970	뉴스에서 보니 무주택자는 버팀목 전세대출 받을 수 있다고 해서요.
7994	네 신혼부부에요
8011	직장인 햇살론을 받고 싶어서요.
8021	금리가 너무 높네요.
8024	네, 그럼 조회 가능할까요?
8026	네, 확인했어요.
8031	제가 신용등급이 낮은 편이라서요.
8034	네, 더 자세히 알고 싶어요.
8045	창업자금으로 받고 싶은데요.
8053	네, 정기예금이 있어요.
8057	아 그렇군요.
8058	그걸로 신청하고 싶은데요.
8105	아 그렇군요. 감사합니다.
8113	1주일 됬어요. 영업일 기준으로 5일요.
8116	아니요, 아무런 안내를 받지 못했어요.
8120	전화 못 받았는데요.
8124	제가 전화를 못 받으면 담당자에게 문자를 남겨달라고 해주세요.
8126	급해서요. 빨리 부탁드립니다.
8131	제가 집 전화가 없는데요.
8139	제가 파일 첨부가 에러가 나서요.
8148	네 알겠어요.
8153	네, 조정지역 아니거든요.
8159	네, 시세가 오르는 추세라서 제가 구입하는 가격이 더 높아요.
8161	아 그렇군요.
8167	네 도움이 되었어요.
8182	전화로 하고 싶어요.
8187	이외에 소상공인이 받을 수 있는 추가 대출상품 있으면 안내 받고 싶어요.
8197	그렇군요.
8200	네 편리하네요.
8211	깜빡잊고 계좌에 이자금액을 넣어 놓지 않았어요.
8213	안낸지 10일 정도 된 것 같아요.
8216	받았는데 정신이 없어서 이제 내려구요.
8228	아 그렇군요.
8230	제 마이너스 대출만기라서요.
8234	네, 이름은 OOO이고 주빈번호는 OOOOOOO이에요.
8238	바빠서 전화로 처리하고 싶은데요.
8244	어쩔 수 없네요.
8247	인터넷뱅킹에 접속해서 서류 제출된다는 거네요.
8257	아 그러면 마이너스 대출 개념이네요.
8277	우선 인터넷 신청으로 하는 걸 하고 싶은데요.
8301	아 그렇군요.
8307	네, 그러면 좀 더 알아보고 다시 문의 드릴께요.
8311	네, 이번달 이자를 미리 내고 싶어요.
8316	아니요, 고정금리입니다.
8322	아 그렇군요.
8334	네, 장단기 대출과 금리 안내 문자를 받았어요.
8351	아니요
8373	 전액이요
8407	아니요
8464	온라인으로 가능하다는 것도 큰 장점이네요
8518	조건들을 잘 비교해서 해야겠어요
8600	이자가 없어요?
8606	검색으로는요?
8616	월복리는 가입자들한테 많이 힘들텐데요
8636	생명보험사의 평균 가산금리가 손해보험사의 평균 가산금리 보다 0.15%p 더 높았다고 하는데 정말인가 보네요.
8656	아 그런가요?
8676	제가 좀 많이 내고 있군요?
8718	아이고 역시 대출은 어렵네요
8726	좀 이해가 되네요.
8760	아. 그래서 신용조회회사에서 서류를 발급받으라는 예기였군요.
8774	잘 이해가 안되요.
8778	둘다 기록은 보존한단 말이네요
8784	그 다음날이라고 했는데 억울하게 등록된 경우는 바로 즉시 삭제해서 바로 조회 가능하게 해야 하는 거 아닌가요?
8786	이런 기록 남으면 다른데 대출받을때 불리하거든요
8792	보험사 실수로 내가 왜 피해를 봐야 하냐구요
8826	이체할인율 확인 좀 해주세요
8884	네 연결해 주세요
8906	거래 충실도 잘 관리해야 겠네요
8925	대출은 역시 복잡하네요
8930	000에 000000이요
8932	11313이요
8945	그거라도 받아야 겠네요. 대출 받을수 있게 안내해주세요
8950	일단 조회하는거 부터 알려주세요
8960	1년이요
8962	그럴거예요
8970	쉽고 빠른걸로요
8989	300만원으로 할게요
8996	금액 확인 좀 먼저요
9025	까다롭네요
9044	수수료가 궁금해요
9046	네 같은 은행이요
9052	헉 비싸네요 카카오통장은 그런거 없던데
9064	OTP요
9085	자동차 다니고 있어요
9087	2달요
9089	아 그런가요?
9091	3000만원요
9131	자동이체계좌 해지하면서 납부가 안된 건가보네요.
9133	네, 두달치 지금 이체할께요.
9139	OO은행으로 해 주세요.
9143	네, 가상계좌로 입금할께요.
9160	매월 말로 해주세요.
9170	네 쓸 수 있어요
9172	OO은행요
9174	그렇게 해주세요
9176	이체 눌렀어요
9178	있네요
9192	OO은행이요
9194	잠시만요.. 네 가능해요
9196	네 했어요
9210	네 사용가능해요
9212	새마을금고요
9214	그렇게 해주세요
9216	눌렀어요
9218	있네요
9220	통장에 잔액이 부족해요
9222	그럼 신청취소해주세요
9230	그럼요
9232	OO은행요
9234	가능해요
9240	근데 지금 잔액이 좀 부족한데요
9242	에이 그럼 신청 취소할께요
9250	좀 늘리려고요
9256	로그인 했어요
9258	보여요
9262	바로 되네요
9264	아니요. 없습니다.
9266	네. 수고하세요.
9270	좀 줄이려고요
9276	로그인 했어요
9278	보여요
9282	바로 되네요
9284	아니요. 없습니다.
9286	네. 수고하세요.
9294	들어갔어요
9296	들어갔어요
9298	아 보이네요.
9304	그렇군요.
9306	네. 수고하세요.
9312	네 선택했어요
9314	네. 선택했어요
9316	그렇군요.
9322	아 그렇군요
9324	아니요
9326	네. 수고하세요.
9330	비싸네요
9334	네 알겠어요
9344	아니요. 없습니다.
9346	네. 수고하세요.
9350	네 올리려고요
9356	로그인 했어요
9358	보여요
9360	선택했어요
9362	간단하네요. 고마워요
9364	아니요. 없습니다.
9366	네. 수고하세요.
9370	네 줄일려고요
9376	로그인 했어요
9378	보여요
9380	선택했어요
9382	간단하네요. 고마워요
9384	아니요. 없습니다.
9386	네. 수고하세요.
9391	네 입력했어요
9398	지금 연체된 금액 입급하고 싶어요
9413	000이요
9418	얼마나 되나요
9430	아니요 다른 걸로 알아볼께요.
9435	납입한 보험료로 대출이요
9438	입력했어요
9441	납입하고 있는 보험료가 2개 있어요
9452	조끔만 더 생각해 볼께요.
9454	네 그럴께요
9456	아니요 괜찮아요.
9461	아니요 그런건 아니예요
9472	설계사분이 저랑 친척이라서 알려지면 안되는 대출인데 쫌 불안하네요
9481	보험납입한 금액으로 대출을 할려구요
9483	조회 해 봐주실수 있나요?
9488	000이요
9492	OO아파트 OO동 OO호예요
9495	애법 되네요
9497	저녁에 남편오면 상의해 보구요
9504	네 보험설계사분이요
9508	큰집 친척이예요
9521	카드결제 신청해 놨는데 통장에서도 바로 한번 빠져나갔네요
9533	아 그런가요
9536	번거롭네요
9541	그런것 같네요
9544	다행이긴 한데요
9560	그런것 같아요 
9562	네 문자로 받았어요
9564	보험료 납입이 3개월 안됐다고 보험이 실효됐다는 내용이요
9567	OOO이요, 주민번호는 OOOOOO-OOOOOOO이요
9570	네 통장에 돈이 없어서 한동안 납입을 못했는데요
9572	안그래도 물어보니까 적립금이 있어서 한동안은 보험료를 못내도 보험은 계속 유지된다고 들었어요
9574	그래요
9577	잘됐네요
9580	실효보험이요
9583	000요
9585	OOOOOO-OOOOOOO인데요
9588	네 3개월 연체되서 보험실효됐다고 알림 받았어요
9600	네 전에 사용한 통장은 거의 사용하지 않거든요
9605	OOOOOO-OOOOOOO이요
9621	통장에서 한번 , 카드에서 한번이요
9624	한 보름 된것 같아요
9626	어제 됐더라구요
9629	우선순위는 모르는데요
9631	아 그랬나요?
9640	네 그래 주셔야 겠네요
9645	네 전화한 번호 맞아요
9656	미리 이런 내용들은 공지를 해주면 좋을텐데요
9661	알림 문자보니까 대출이 가능하다고 되어 있었어요
9664	0백만원이요
9666	네 그래주세요
9668	OOO, OOOOOO-OOOOOOO이요
9671	네 그래야 할 것 같아요
9677	아 전화해 볼께요
9682	문자로 왔더라구요
9684	큰 금액은 아니구요
9687	이율이 5.8%로 되어있어요
9690	네 607만원에 5.8%요
9697	궁금한건 전화해서 물어볼게요
